"state","country","date","cases"
"Vienna","Austria",2020-03-05,16
"Vienna","Austria",2020-03-06,23
"Vienna","Austria",2020-03-07,28
"Vienna","Austria",2020-03-08,32
"Vienna","Austria",2020-03-09,35
"Vienna","Austria",2020-03-10,43
"Vienna","Austria",2020-03-11,50
"Vienna","Austria",2020-03-12,66
"Vienna","Austria",2020-03-13,82
"Vienna","Austria",2020-03-14,101
"Vienna","Austria",2020-03-15,122
"Vienna","Austria",2020-03-16,128
"Vienna","Austria",2020-03-17,130
"Vienna","Austria",2020-03-18,209
"Vienna","Austria",2020-03-19,234
"Vienna","Austria",2020-03-20,296
"Vienna","Austria",2020-03-21,367
"Vienna","Austria",2020-03-22,445
"Vienna","Austria",2020-03-23,559
"Vienna","Austria",2020-03-24,677
"Vienna","Austria",2020-03-25,703
"Vienna","Austria",2020-03-26,914
"Vienna","Austria",2020-03-27,1029
"Vienna","Austria",2020-03-28,1087
"Vienna","Austria",2020-03-29,1103
"Vienna","Austria",2020-03-30,1300
"Vienna","Austria",2020-03-31,1417
"Vienna","Austria",2020-04-01,1547
"Vienna","Austria",2020-04-02,1607
"Vienna","Austria",2020-04-03,1677
"Vienna","Austria",2020-04-04,1688
"Vienna","Austria",2020-04-05,1704
"Vienna","Austria",2020-04-06,1770
"Vienna","Austria",2020-04-07,1820
"Vienna","Austria",2020-04-08,1878
"Vienna","Austria",2020-04-09,1918
"Vienna","Austria",2020-04-10,1962
"Vienna","Austria",2020-04-11,1996
"Vienna","Austria",2020-04-12,2008
"Vienna","Austria",2020-04-13,2028
"Vienna","Austria",2020-04-14,2053
"Vienna","Austria",2020-04-15,2101
"Vienna","Austria",2020-04-16,2119
"Vienna","Austria",2020-04-17,2145
"Vienna","Austria",2020-04-18,2159
"Vienna","Austria",2020-04-19,2159
"Vienna","Austria",2020-04-20,2204
