"city","date","cases"
"Melbourne",2020-01-25,1
"Melbourne",2020-01-26,0
"Melbourne",2020-01-27,0
"Melbourne",2020-01-28,1
"Melbourne",2020-01-29,0
"Melbourne",2020-01-30,1
"Melbourne",2020-01-31,1
"Melbourne",2020-02-01,0
"Melbourne",2020-02-02,0
"Melbourne",2020-02-03,0
"Melbourne",2020-02-04,0
"Melbourne",2020-02-05,0
"Melbourne",2020-02-06,0
"Melbourne",2020-02-07,0
"Melbourne",2020-02-08,0
"Melbourne",2020-02-09,0
"Melbourne",2020-02-10,0
"Melbourne",2020-02-11,0
"Melbourne",2020-02-12,0
"Melbourne",2020-02-13,0
"Melbourne",2020-02-14,0
"Melbourne",2020-02-15,0
"Melbourne",2020-02-16,0
"Melbourne",2020-02-17,0
"Melbourne",2020-02-18,0
"Melbourne",2020-02-19,0
"Melbourne",2020-02-20,0
"Melbourne",2020-02-21,0
"Melbourne",2020-02-22,2
"Melbourne",2020-02-23,0
"Melbourne",2020-02-24,0
"Melbourne",2020-02-25,1
"Melbourne",2020-02-26,0
"Melbourne",2020-02-27,0
"Melbourne",2020-02-28,0
"Melbourne",2020-02-29,0
"Melbourne",2020-03-01,2
"Melbourne",2020-03-02,0
"Melbourne",2020-03-03,0
"Melbourne",2020-03-04,1
"Melbourne",2020-03-05,0
"Melbourne",2020-03-06,1
"Melbourne",2020-03-07,1
"Melbourne",2020-03-08,2
"Melbourne",2020-03-09,3
"Melbourne",2020-03-10,2
"Melbourne",2020-03-11,4
"Melbourne",2020-03-12,9
"Melbourne",2020-03-13,15
"Melbourne",2020-03-14,5
"Melbourne",2020-03-15,5
"Melbourne",2020-03-16,16
"Melbourne",2020-03-17,37
"Melbourne",2020-03-18,23
"Melbourne",2020-03-19,30
"Melbourne",2020-03-20,37
"Melbourne",2020-03-21,36
"Melbourne",2020-03-22,59
"Melbourne",2020-03-23,50
"Melbourne",2020-03-24,53
"Melbourne",2020-03-25,42
"Melbourne",2020-03-26,42
"Melbourne",2020-03-27,78
"Melbourne",2020-03-28,59
"Melbourne",2020-03-29,45
"Melbourne",2020-03-30,71
"Melbourne",2020-03-31,50
"Melbourne",2020-04-01,54
"Melbourne",2020-04-02,55
"Melbourne",2020-04-03,20
"Melbourne",2020-04-04,21
"Melbourne",2020-04-05,23
"Melbourne",2020-04-06,26
"Melbourne",2020-04-07,15
"Melbourne",2020-04-08,11
"Melbourne",2020-04-09,7
"Melbourne",2020-04-10,15
"Melbourne",2020-04-11,4
"Melbourne",2020-04-12,1
"Melbourne",2020-04-13,4
"Melbourne",2020-04-14,3
"Melbourne",2020-04-15,5
"Melbourne",2020-04-16,6
"Melbourne",2020-04-17,7
"Melbourne",2020-04-18,10
"Melbourne",2020-04-19,1
"Melbourne",2020-04-20,3
"Melbourne",2020-04-21,0
"Melbourne",2020-04-22,0
"Melbourne",2020-04-23,4
"Melbourne",2020-04-24,2
"Melbourne",2020-04-25,3
"Melbourne",2020-04-26,1
"Melbourne",2020-04-27,3
"Melbourne",2020-04-28,1
"Melbourne",2020-04-29,7
"Melbourne",2020-04-30,4
"Melbourne",2020-05-01,10
"Melbourne",2020-05-02,11
"Melbourne",2020-05-03,21
"Melbourne",2020-05-04,12
"Melbourne",2020-05-05,16
"Melbourne",2020-05-06,15
"Melbourne",2020-05-07,13
"Melbourne",2020-05-08,8
"Melbourne",2020-05-09,7
"Melbourne",2020-05-10,5
"Melbourne",2020-05-11,14
"Melbourne",2020-05-12,6
"Melbourne",2020-05-13,8
"Melbourne",2020-05-14,13
"Melbourne",2020-05-15,12
"Melbourne",2020-05-16,4
"Melbourne",2020-05-17,3
"Melbourne",2020-05-18,6
"Melbourne",2020-05-19,3
"Melbourne",2020-05-20,5
"Melbourne",2020-05-21,10
"Melbourne",2020-05-22,8
"Melbourne",2020-05-23,1
"Melbourne",2020-05-24,0
"Melbourne",2020-05-25,2
"Melbourne",2020-05-26,6
"Melbourne",2020-05-27,7
"Melbourne",2020-05-28,6
"Melbourne",2020-05-29,8
"Melbourne",2020-05-30,8
"Melbourne",2020-05-31,4
"Melbourne",2020-06-01,9
"Melbourne",2020-06-02,7
"Melbourne",2020-06-03,7
"Melbourne",2020-06-04,2
"Melbourne",2020-06-05,1
"Melbourne",2020-06-06,4
"Melbourne",2020-06-07,1
"Melbourne",2020-06-08,0
"Melbourne",2020-06-09,3
"Melbourne",2020-06-10,7
"Melbourne",2020-06-11,3
"Melbourne",2020-06-12,5
"Melbourne",2020-06-13,10
"Melbourne",2020-06-14,11
"Melbourne",2020-06-15,7
"Melbourne",2020-06-16,14
"Melbourne",2020-06-17,16
"Melbourne",2020-06-18,12
"Melbourne",2020-06-19,25
"Melbourne",2020-06-20,16
"Melbourne",2020-06-21,11
"Melbourne",2020-06-22,14
"Melbourne",2020-06-23,17
"Melbourne",2020-06-24,31
"Melbourne",2020-06-25,26
"Melbourne",2020-06-26,40
"Melbourne",2020-06-27,43
"Melbourne",2020-06-28,65
"Melbourne",2020-06-29,61
"Melbourne",2020-06-30,71
"Melbourne",2020-07-01,73
"Melbourne",2020-07-02,59
"Melbourne",2020-07-03,100
"Melbourne",2020-07-04,67
"Melbourne",2020-07-05,98
"Melbourne",2020-07-06,167
"Melbourne",2020-07-07,116
"Melbourne",2020-07-08,140
"Melbourne",2020-07-09,140
"Melbourne",2020-07-10,284
"Melbourne",2020-07-11,249
"Melbourne",2020-07-12,163
"Melbourne",2020-07-13,241
"Melbourne",2020-07-14,214
"Melbourne",2020-07-15,286
"Melbourne",2020-07-16,370
"Melbourne",2020-07-17,200
"Melbourne",2020-07-18,322
"Melbourne",2020-07-19,239
"Melbourne",2020-07-20,313
"Melbourne",2020-07-21,424
"Melbourne",2020-07-22,348
"Melbourne",2020-07-23,259
"Melbourne",2020-07-24,320
"Melbourne",2020-07-25,391
"Melbourne",2020-07-26,469
"Melbourne",2020-07-27,334
"Melbourne",2020-07-28,263
"Melbourne",2020-07-29,591
"Melbourne",2020-07-30,511
"Melbourne",2020-07-31,335
"Melbourne",2020-08-01,557
"Melbourne",2020-08-02,317
"Melbourne",2020-08-03,373
"Melbourne",2020-08-04,645
"Melbourne",2020-08-05,403
"Melbourne",2020-08-06,372
"Melbourne",2020-08-07,420
"Melbourne",2020-08-08,340
"Melbourne",2020-08-09,288
"Melbourne",2020-08-10,276
"Melbourne",2020-08-11,366
"Melbourne",2020-08-12,235
"Melbourne",2020-08-13,328
"Melbourne",2020-08-14,279
"Melbourne",2020-08-15,242
"Melbourne",2020-08-16,240
"Melbourne",2020-08-17,192
"Melbourne",2020-08-18,197
"Melbourne",2020-08-19,210
"Melbourne",2020-08-20,155
