"state","country","date","cases"
"Brussels","Belgium",2020-03-01,6
"Brussels","Belgium",2020-03-02,10
"Brussels","Belgium",2020-03-03,12
"Brussels","Belgium",2020-03-04,17
"Brussels","Belgium",2020-03-05,19
"Brussels","Belgium",2020-03-06,28
"Brussels","Belgium",2020-03-07,33
"Brussels","Belgium",2020-03-08,40
"Brussels","Belgium",2020-03-09,52
"Brussels","Belgium",2020-03-10,65
"Brussels","Belgium",2020-03-11,82
"Brussels","Belgium",2020-03-12,119
"Brussels","Belgium",2020-03-13,158
"Brussels","Belgium",2020-03-14,188
"Brussels","Belgium",2020-03-15,215
"Brussels","Belgium",2020-03-16,276
"Brussels","Belgium",2020-03-17,300
"Brussels","Belgium",2020-03-18,358
"Brussels","Belgium",2020-03-19,413
"Brussels","Belgium",2020-03-20,483
"Brussels","Belgium",2020-03-21,527
"Brussels","Belgium",2020-03-22,591
"Brussels","Belgium",2020-03-23,707
"Brussels","Belgium",2020-03-24,829
"Brussels","Belgium",2020-03-25,970
"Brussels","Belgium",2020-03-26,1119
"Brussels","Belgium",2020-03-27,1305
"Brussels","Belgium",2020-03-28,1452
"Brussels","Belgium",2020-03-29,1545
"Brussels","Belgium",2020-03-30,1683
"Brussels","Belgium",2020-03-31,1861
"Brussels","Belgium",2020-04-01,2007
"Brussels","Belgium",2020-04-02,2162
"Brussels","Belgium",2020-04-03,2329
"Brussels","Belgium",2020-04-04,2431
"Brussels","Belgium",2020-04-05,2513
"Brussels","Belgium",2020-04-06,2681
"Brussels","Belgium",2020-04-07,2821
"Brussels","Belgium",2020-04-08,2992
"Brussels","Belgium",2020-04-09,3145
"Brussels","Belgium",2020-04-10,3283
"Brussels","Belgium",2020-04-11,3351
"Brussels","Belgium",2020-04-12,3411
"Brussels","Belgium",2020-04-13,3484
"Brussels","Belgium",2020-04-14,3652
"Brussels","Belgium",2020-04-15,3774
"Brussels","Belgium",2020-04-16,3956
"Brussels","Belgium",2020-04-17,4135
"Brussels","Belgium",2020-04-18,4179
"Brussels","Belgium",2020-04-19,4215
"Brussels","Belgium",2020-04-20,4349
"Brussels","Belgium",2020-04-21,4424
"Brussels","Belgium",2020-04-22,4438
