"city","date","cases"
"São Paulo",2020-02-25,1
"São Paulo",2020-02-26,0
"São Paulo",2020-02-27,0
"São Paulo",2020-02-28,1
"São Paulo",2020-02-29,0
"São Paulo",2020-03-01,0
"São Paulo",2020-03-02,0
"São Paulo",2020-03-03,0
"São Paulo",2020-03-04,1
"São Paulo",2020-03-05,3
"São Paulo",2020-03-06,0
"São Paulo",2020-03-07,6
"São Paulo",2020-03-08,3
"São Paulo",2020-03-09,0
"São Paulo",2020-03-10,3
"São Paulo",2020-03-11,11
"São Paulo",2020-03-12,15
"São Paulo",2020-03-13,0
"São Paulo",2020-03-14,18
"São Paulo",2020-03-15,0
"São Paulo",2020-03-16,83
"São Paulo",2020-03-17,11
"São Paulo",2020-03-18,58
"São Paulo",2020-03-19,45
"São Paulo",2020-03-20,47
"São Paulo",2020-03-21,0
"São Paulo",2020-03-22,0
"São Paulo",2020-03-23,0
"São Paulo",2020-03-24,0
"São Paulo",2020-03-25,416
"São Paulo",2020-03-26,177
"São Paulo",2020-03-27,145
"São Paulo",2020-03-28,0
"São Paulo",2020-03-29,0
"São Paulo",2020-03-30,189
"São Paulo",2020-03-31,652
"São Paulo",2020-04-01,533
"São Paulo",2020-04-02,397
"São Paulo",2020-04-03,387
"São Paulo",2020-04-04,294
"São Paulo",2020-04-05,116
"São Paulo",2020-04-06,142
"São Paulo",2020-04-07,504
"São Paulo",2020-04-08,689
"São Paulo",2020-04-09,530
"São Paulo",2020-04-10,505
"São Paulo",2020-04-11,149
"São Paulo",2020-04-12,221
"São Paulo",2020-04-13,66
"São Paulo",2020-04-14,287
"São Paulo",2020-04-15,1059
"São Paulo",2020-04-16,144
"São Paulo",2020-04-17,836
"São Paulo",2020-04-18,684
"São Paulo",2020-04-19,240
"São Paulo",2020-04-20,147
"São Paulo",2020-04-21,527
"São Paulo",2020-04-22,349
"São Paulo",2020-04-23,534
"São Paulo",2020-04-24,575
"São Paulo",2020-04-25,1298
"São Paulo",2020-04-26,415
"São Paulo",2020-04-27,476
"São Paulo",2020-04-28,1408
"São Paulo",2020-04-29,1241
"São Paulo",2020-04-30,1511
"São Paulo",2020-05-01,938
"São Paulo",2020-05-02,407
"São Paulo",2020-05-03,328
"São Paulo",2020-05-04,251
"São Paulo",2020-05-05,1067
"São Paulo",2020-05-06,2047
"São Paulo",2020-05-07,1086
"São Paulo",2020-05-08,1094
"São Paulo",2020-05-09,1420
"São Paulo",2020-05-10,520
"São Paulo",2020-05-11,464
"São Paulo",2020-05-12,911
"São Paulo",2020-05-13,1720
"São Paulo",2020-05-14,1471
"São Paulo",2020-05-15,2119
"São Paulo",2020-05-16,1437
"São Paulo",2020-05-17,502
"São Paulo",2020-05-18,257
"São Paulo",2020-05-19,1452
"São Paulo",2020-05-20,1826
"São Paulo",2020-05-21,1985
"São Paulo",2020-05-22,1522
"São Paulo",2020-05-23,1914
"São Paulo",2020-05-24,640
"São Paulo",2020-05-25,677
"São Paulo",2020-05-26,1350
"São Paulo",2020-05-27,1710
"São Paulo",2020-05-28,3455
"São Paulo",2020-05-29,3022
"São Paulo",2020-05-30,2878
"São Paulo",2020-05-31,1512
"São Paulo",2020-06-01,995
"São Paulo",2020-06-02,3317
"São Paulo",2020-06-03,2334
"São Paulo",2020-06-04,2570
"São Paulo",2020-06-05,2106
"São Paulo",2020-06-06,2408
"São Paulo",2020-06-07,935
"São Paulo",2020-06-08,903
"São Paulo",2020-06-09,2327
"São Paulo",2020-06-10,2431
"São Paulo",2020-06-11,2619
"São Paulo",2020-06-12,2546
"São Paulo",2020-06-13,2403
"São Paulo",2020-06-14,3173
"São Paulo",2020-06-15,2250
"São Paulo",2020-06-16,4228
"São Paulo",2020-06-17,456
"São Paulo",2020-06-18,398
"São Paulo",2020-06-19,6877
"São Paulo",2020-06-20,184
"São Paulo",2020-06-21,949
"São Paulo",2020-06-22,1191
"São Paulo",2020-06-23,2483
"São Paulo",2020-06-24,3047
"São Paulo",2020-06-25,4050
"São Paulo",2020-06-26,3852
"São Paulo",2020-06-27,1596
"São Paulo",2020-06-28,1346
"São Paulo",2020-06-29,907
"São Paulo",2020-06-30,2107
"São Paulo",2020-07-01,2209
"São Paulo",2020-07-02,5656
"São Paulo",2020-07-03,2090
"São Paulo",2020-07-04,688
"São Paulo",2020-07-05,2109
"São Paulo",2020-07-06,360
"São Paulo",2020-07-07,2271
"São Paulo",2020-07-08,2071
"São Paulo",2020-07-09,2166
"São Paulo",2020-07-10,2692
"São Paulo",2020-07-11,1934
"São Paulo",2020-07-12,1441
"São Paulo",2020-07-13,1207
"São Paulo",2020-07-14,4789
"São Paulo",2020-07-15,1524
"São Paulo",2020-07-16,1916
"São Paulo",2020-07-17,1382
"São Paulo",2020-07-18,1470
"São Paulo",2020-07-19,979
"São Paulo",2020-07-20,275
"São Paulo",2020-07-21,1453
"São Paulo",2020-07-22,3318
"São Paulo",2020-07-23,2591
"São Paulo",2020-07-24,2480
"São Paulo",2020-07-25,2925
"São Paulo",2020-07-26,662
"São Paulo",2020-07-27,2250
"São Paulo",2020-07-28,3681
"São Paulo",2020-07-29,3119
"São Paulo",2020-07-30,4857
"São Paulo",2020-07-31,3876
"São Paulo",2020-08-01,2114
"São Paulo",2020-08-02,770
"São Paulo",2020-08-03,261
"São Paulo",2020-08-04,2574
"São Paulo",2020-08-05,2823
"São Paulo",2020-08-06,3457
"São Paulo",2020-08-07,1910
"São Paulo",2020-08-08,2038
