"city","date","cases"
"Vancouver",2020-01-29,0
"Vancouver",2020-01-30,0
"Vancouver",2020-01-31,0
"Vancouver",2020-02-01,0
"Vancouver",2020-02-02,0
"Vancouver",2020-02-03,0
"Vancouver",2020-02-04,0
"Vancouver",2020-02-05,0
"Vancouver",2020-02-06,1
"Vancouver",2020-02-07,0
"Vancouver",2020-02-08,0
"Vancouver",2020-02-09,0
"Vancouver",2020-02-10,0
"Vancouver",2020-02-11,0
"Vancouver",2020-02-12,0
"Vancouver",2020-02-13,0
"Vancouver",2020-02-14,0
"Vancouver",2020-02-15,0
"Vancouver",2020-02-16,0
"Vancouver",2020-02-17,0
"Vancouver",2020-02-18,0
"Vancouver",2020-02-19,0
"Vancouver",2020-02-20,0
"Vancouver",2020-02-21,0
"Vancouver",2020-02-22,0
"Vancouver",2020-02-23,0
"Vancouver",2020-02-24,0
"Vancouver",2020-02-25,0
"Vancouver",2020-02-26,0
"Vancouver",2020-02-27,0
"Vancouver",2020-02-28,0
"Vancouver",2020-02-29,0
"Vancouver",2020-03-01,0
"Vancouver",2020-03-02,0
"Vancouver",2020-03-03,4
"Vancouver",2020-03-04,0
"Vancouver",2020-03-05,4
"Vancouver",2020-03-06,3
"Vancouver",2020-03-07,1
"Vancouver",2020-03-08,0
"Vancouver",2020-03-09,2
"Vancouver",2020-03-10,4
"Vancouver",2020-03-11,13
"Vancouver",2020-03-12,8
"Vancouver",2020-03-13,14
"Vancouver",2020-03-14,18
"Vancouver",2020-03-15,14
"Vancouver",2020-03-16,26
"Vancouver",2020-03-17,24
"Vancouver",2020-03-18,27
"Vancouver",2020-03-19,29
"Vancouver",2020-03-20,29
"Vancouver",2020-03-21,34
"Vancouver",2020-03-22,21
"Vancouver",2020-03-23,26
"Vancouver",2020-03-24,23
"Vancouver",2020-03-25,45
"Vancouver",2020-03-26,18
"Vancouver",2020-03-27,28
"Vancouver",2020-03-28,23
"Vancouver",2020-03-29,22
"Vancouver",2020-03-30,23
"Vancouver",2020-03-31,17
"Vancouver",2020-04-01,22
"Vancouver",2020-04-02,18
"Vancouver",2020-04-03,13
"Vancouver",2020-04-04,13
"Vancouver",2020-04-05,7
"Vancouver",2020-04-06,25
"Vancouver",2020-04-07,9
"Vancouver",2020-04-08,10
"Vancouver",2020-04-09,6
"Vancouver",2020-04-10,12
"Vancouver",2020-04-11,4
"Vancouver",2020-04-12,2
"Toronto",2020-01-15,0
"Toronto",2020-01-16,0
"Toronto",2020-01-17,0
"Toronto",2020-01-18,0
"Toronto",2020-01-19,0
"Toronto",2020-01-20,0
"Toronto",2020-01-21,0
"Toronto",2020-01-22,0
"Toronto",2020-01-23,2
"Toronto",2020-01-24,0
"Toronto",2020-01-25,0
"Toronto",2020-01-26,0
"Toronto",2020-01-27,0
"Toronto",2020-01-28,0
"Toronto",2020-01-29,0
"Toronto",2020-01-30,0
"Toronto",2020-01-31,0
"Toronto",2020-02-01,0
"Toronto",2020-02-02,0
"Toronto",2020-02-03,0
"Toronto",2020-02-04,0
"Toronto",2020-02-05,0
"Toronto",2020-02-06,0
"Toronto",2020-02-07,0
"Toronto",2020-02-08,0
"Toronto",2020-02-09,0
"Toronto",2020-02-10,0
"Toronto",2020-02-11,0
"Toronto",2020-02-12,0
"Toronto",2020-02-13,0
"Toronto",2020-02-14,0
"Toronto",2020-02-15,0
"Toronto",2020-02-16,0
"Toronto",2020-02-17,0
"Toronto",2020-02-18,0
"Toronto",2020-02-19,0
"Toronto",2020-02-20,0
"Toronto",2020-02-21,1
"Toronto",2020-02-22,0
"Toronto",2020-02-23,0
"Toronto",2020-02-24,0
"Toronto",2020-02-25,1
"Toronto",2020-02-26,1
"Toronto",2020-02-27,1
"Toronto",2020-02-28,1
"Toronto",2020-02-29,1
"Toronto",2020-03-01,2
"Toronto",2020-03-02,0
"Toronto",2020-03-03,1
"Toronto",2020-03-04,1
"Toronto",2020-03-05,2
"Toronto",2020-03-06,2
"Toronto",2020-03-07,2
"Toronto",2020-03-08,4
"Toronto",2020-03-09,2
"Toronto",2020-03-10,4
"Toronto",2020-03-11,10
"Toronto",2020-03-12,24
"Toronto",2020-03-13,13
"Toronto",2020-03-14,8
"Toronto",2020-03-15,15
"Toronto",2020-03-16,19
"Toronto",2020-03-17,18
"Toronto",2020-03-18,28
"Toronto",2020-03-19,35
"Toronto",2020-03-20,36
"Toronto",2020-03-21,14
"Toronto",2020-03-22,33
"Toronto",2020-03-23,41
"Toronto",2020-03-24,42
"Toronto",2020-03-25,32
"Toronto",2020-03-26,109
"Toronto",2020-03-27,100
"Toronto",2020-03-28,41
"Toronto",2020-03-29,38
"Toronto",2020-03-30,72
"Toronto",2020-03-31,86
"Toronto",2020-04-01,93
"Toronto",2020-04-02,111
"Toronto",2020-04-03,110
"Toronto",2020-04-04,120
"Toronto",2020-04-05,70
"Toronto",2020-04-06,114
"Toronto",2020-04-07,191
"Toronto",2020-04-08,153
"Toronto",2020-04-09,165
"Toronto",2020-04-10,127
"Toronto",2020-04-11,129
"Toronto",2020-04-12,164
"Montréal",2020-01-24,0
"Montréal",2020-01-25,0
"Montréal",2020-01-26,0
"Montréal",2020-01-27,0
"Montréal",2020-01-28,0
"Montréal",2020-01-29,0
"Montréal",2020-01-30,0
"Montréal",2020-01-31,0
"Montréal",2020-02-01,0
"Montréal",2020-02-02,0
"Montréal",2020-02-03,0
"Montréal",2020-02-04,0
"Montréal",2020-02-05,0
"Montréal",2020-02-06,0
"Montréal",2020-02-07,0
"Montréal",2020-02-08,0
"Montréal",2020-02-09,0
"Montréal",2020-02-10,0
"Montréal",2020-02-11,0
"Montréal",2020-02-12,0
"Montréal",2020-02-13,0
"Montréal",2020-02-14,0
"Montréal",2020-02-15,0
"Montréal",2020-02-16,0
"Montréal",2020-02-17,0
"Montréal",2020-02-18,0
"Montréal",2020-02-19,0
"Montréal",2020-02-20,0
"Montréal",2020-02-21,0
"Montréal",2020-02-22,0
"Montréal",2020-02-23,0
"Montréal",2020-02-24,0
"Montréal",2020-02-25,0
"Montréal",2020-02-26,0
"Montréal",2020-02-27,0
"Montréal",2020-02-28,0
"Montréal",2020-02-29,0
"Montréal",2020-03-01,0
"Montréal",2020-03-02,0
"Montréal",2020-03-03,0
"Montréal",2020-03-04,0
"Montréal",2020-03-05,0
"Montréal",2020-03-06,0
"Montréal",2020-03-07,1
"Montréal",2020-03-08,0
"Montréal",2020-03-09,0
"Montréal",2020-03-10,0
"Montréal",2020-03-11,0
"Montréal",2020-03-12,2
"Montréal",2020-03-13,1
"Montréal",2020-03-14,1
"Montréal",2020-03-15,1
"Montréal",2020-03-16,2
"Montréal",2020-03-17,5
"Montréal",2020-03-18,2
"Montréal",2020-03-19,7
"Montréal",2020-03-20,28
"Montréal",2020-03-21,28
"Montréal",2020-03-22,88
"Montréal",2020-03-23,93
"Montréal",2020-03-24,128
"Montréal",2020-03-25,121
"Montréal",2020-03-26,144
"Montréal",2020-03-27,170
"Montréal",2020-03-28,283
"Montréal",2020-03-29,195
"Montréal",2020-03-30,265
"Montréal",2020-03-31,296
"Montréal",2020-04-01,338
"Montréal",2020-04-02,321
"Montréal",2020-04-03,375
"Montréal",2020-04-04,297
"Montréal",2020-04-05,410
"Montréal",2020-04-06,259
"Montréal",2020-04-07,345
"Montréal",2020-04-08,440
"Montréal",2020-04-09,330
"Montréal",2020-04-10,473
"Montréal",2020-04-11,335
"Montréal",2020-04-12,287
