"country","date","cases"
"Brazil",2020-02-25,1
"Brazil",2020-02-26,0
"Brazil",2020-02-27,0
"Brazil",2020-02-28,1
"Brazil",2020-02-29,0
"Brazil",2020-03-01,0
"Brazil",2020-03-02,0
"Brazil",2020-03-03,0
"Brazil",2020-03-04,1
"Brazil",2020-03-05,4
"Brazil",2020-03-06,7
"Brazil",2020-03-07,5
"Brazil",2020-03-08,6
"Brazil",2020-03-09,0
"Brazil",2020-03-10,9
"Brazil",2020-03-11,19
"Brazil",2020-03-12,36
"Brazil",2020-03-13,17
"Brazil",2020-03-14,36
"Brazil",2020-03-15,90
"Brazil",2020-03-16,56
"Brazil",2020-03-17,54
"Brazil",2020-03-18,191
"Brazil",2020-03-19,138
"Brazil",2020-03-20,331
"Brazil",2020-03-21,224
"Brazil",2020-03-22,396
"Brazil",2020-03-23,359
"Brazil",2020-03-24,303
"Brazil",2020-03-25,311
"Brazil",2020-03-26,424
"Brazil",2020-03-27,487
"Brazil",2020-03-28,479
"Brazil",2020-03-29,360
"Brazil",2020-03-30,353
"Brazil",2020-03-31,1162
"Brazil",2020-04-01,1107
"Brazil",2020-04-02,1169
"Brazil",2020-04-03,1112
"Brazil",2020-04-04,1169
"Brazil",2020-04-05,1043
"Brazil",2020-04-06,838
"Brazil",2020-04-07,1821
"Brazil",2020-04-08,2175
"Brazil",2020-04-09,1939
"Brazil",2020-04-10,1760
"Brazil",2020-04-11,1055
"Brazil",2020-04-12,1464
"Brazil",2020-04-13,1412
"Brazil",2020-04-14,1909
"Brazil",2020-04-15,3242
"Brazil",2020-04-16,2082
"Brazil",2020-04-17,3296
"Brazil",2020-04-18,2778
"Brazil",2020-04-19,2022
"Brazil",2020-04-20,1740
"Brazil",2020-04-21,2742
"Brazil",2020-04-22,2745
"Brazil",2020-04-23,3879
"Brazil",2020-04-24,3910
"Brazil",2020-04-25,5299
"Brazil",2020-04-26,3715
"Brazil",2020-04-27,4145
"Brazil",2020-04-28,6231
"Brazil",2020-04-29,6201
"Brazil",2020-04-30,7379
"Brazil",2020-05-01,5544
"Brazil",2020-05-02,4913
"Brazil",2020-05-03,4445
