"country","date","cases"
"Canada",2020-01-15,0
"Canada",2020-01-16,0
"Canada",2020-01-17,0
"Canada",2020-01-18,0
"Canada",2020-01-19,0
"Canada",2020-01-20,0
"Canada",2020-01-21,0
"Canada",2020-01-22,0
"Canada",2020-01-23,2
"Canada",2020-01-24,1
"Canada",2020-01-25,0
"Canada",2020-01-26,0
"Canada",2020-01-27,0
"Canada",2020-01-28,0
"Canada",2020-01-29,0
"Canada",2020-01-30,0
"Canada",2020-01-31,0
"Canada",2020-02-01,0
"Canada",2020-02-02,0
"Canada",2020-02-03,0
"Canada",2020-02-04,0
"Canada",2020-02-05,2
"Canada",2020-02-06,1
"Canada",2020-02-07,0
"Canada",2020-02-08,0
"Canada",2020-02-09,0
"Canada",2020-02-10,0
"Canada",2020-02-11,0
"Canada",2020-02-12,0
"Canada",2020-02-13,0
"Canada",2020-02-14,0
"Canada",2020-02-15,0
"Canada",2020-02-16,0
"Canada",2020-02-17,0
"Canada",2020-02-18,1
"Canada",2020-02-19,0
"Canada",2020-02-20,0
"Canada",2020-02-21,1
"Canada",2020-02-22,0
"Canada",2020-02-23,0
"Canada",2020-02-24,2
"Canada",2020-02-25,1
"Canada",2020-02-26,1
"Canada",2020-02-27,2
"Canada",2020-02-28,5
"Canada",2020-02-29,4
"Canada",2020-03-01,2
"Canada",2020-03-02,0
"Canada",2020-03-03,7
"Canada",2020-03-04,1
"Canada",2020-03-05,10
"Canada",2020-03-06,10
"Canada",2020-03-07,6
"Canada",2020-03-08,10
"Canada",2020-03-09,13
"Canada",2020-03-10,28
"Canada",2020-03-11,47
"Canada",2020-03-12,53
"Canada",2020-03-13,62
"Canada",2020-03-14,90
"Canada",2020-03-15,88
"Canada",2020-03-16,129
"Canada",2020-03-17,143
"Canada",2020-03-18,150
"Canada",2020-03-19,185
"Canada",2020-03-20,276
"Canada",2020-03-21,278
"Canada",2020-03-22,350
"Canada",2020-03-23,459
"Canada",2020-03-24,602
"Canada",2020-03-25,570
"Canada",2020-03-26,665
"Canada",2020-03-27,877
"Canada",2020-03-28,883
"Canada",2020-03-29,781
"Canada",2020-03-30,1085
"Canada",2020-03-31,1250
"Canada",2020-04-01,1466
"Canada",2020-04-02,1275
"Canada",2020-04-03,1345
"Canada",2020-04-04,1116
"Canada",2020-04-05,1109
"Canada",2020-04-06,1118
"Canada",2020-04-07,1201
"Canada",2020-04-08,1430
"Canada",2020-04-09,1177
"Canada",2020-04-10,1334
"Canada",2020-04-11,1165
"Canada",2020-04-12,1311
