"state","country","date","cases"
"Berlin","Germany",2020-03-02,0
"Berlin","Germany",2020-03-03,5
"Berlin","Germany",2020-03-04,8
"Berlin","Germany",2020-03-05,19
"Berlin","Germany",2020-03-06,24
"Berlin","Germany",2020-03-07,25
"Berlin","Germany",2020-03-08,36
"Berlin","Germany",2020-03-09,58
"Berlin","Germany",2020-03-10,91
"Berlin","Germany",2020-03-11,133
"Berlin","Germany",2020-03-12,180
"Berlin","Germany",2020-03-13,239
"Berlin","Germany",2020-03-14,268
"Berlin","Germany",2020-03-15,293
"Berlin","Germany",2020-03-16,354
"Berlin","Germany",2020-03-17,449
"Berlin","Germany",2020-03-18,593
"Berlin","Germany",2020-03-19,771
"Berlin","Germany",2020-03-20,938
"Berlin","Germany",2020-03-21,1064
"Berlin","Germany",2020-03-22,1132
"Berlin","Germany",2020-03-23,1290
"Berlin","Germany",2020-03-24,1490
"Berlin","Germany",2020-03-25,1737
"Berlin","Germany",2020-03-26,2018
"Berlin","Germany",2020-03-27,2218
"Berlin","Germany",2020-03-28,2405
"Berlin","Germany",2020-03-29,2493
"Berlin","Germany",2020-03-30,2660
"Berlin","Germany",2020-03-31,2873
"Berlin","Germany",2020-04-01,3060
"Berlin","Germany",2020-04-02,3294
"Berlin","Germany",2020-04-03,3533
"Berlin","Germany",2020-04-04,3640
"Berlin","Germany",2020-04-05,3716
"Berlin","Germany",2020-04-06,3860
"Berlin","Germany",2020-04-07,4062
"Berlin","Germany",2020-04-08,4238
"Berlin","Germany",2020-04-09,4412
"Berlin","Germany",2020-04-10,4494
"Berlin","Germany",2020-04-11,4581
"Berlin","Germany",2020-04-12,4633
"Berlin","Germany",2020-04-13,4694
"Berlin","Germany",2020-04-14,4766
"Berlin","Germany",2020-04-15,4880
"Berlin","Germany",2020-04-16,4974
"Berlin","Germany",2020-04-17,5095
"Berlin","Germany",2020-04-18,5176
"Berlin","Germany",2020-04-19,5206
"Berlin","Germany",2020-04-20,5253
"Hamburg","Germany",2020-03-02,2
"Hamburg","Germany",2020-03-03,4
"Hamburg","Germany",2020-03-04,7
"Hamburg","Germany",2020-03-05,13
"Hamburg","Germany",2020-03-06,16
"Hamburg","Germany",2020-03-07,19
"Hamburg","Germany",2020-03-08,24
"Hamburg","Germany",2020-03-09,44
"Hamburg","Germany",2020-03-10,70
"Hamburg","Germany",2020-03-11,99
"Hamburg","Germany",2020-03-12,141
"Hamburg","Germany",2020-03-13,174
"Hamburg","Germany",2020-03-14,249
"Hamburg","Germany",2020-03-15,322
"Hamburg","Germany",2020-03-16,394
"Hamburg","Germany",2020-03-17,527
"Hamburg","Germany",2020-03-18,655
