"state","country","date","cases"
"Cataluña","Spain",2020-02-27,2
"Cataluña","Spain",2020-02-28,3
"Cataluña","Spain",2020-02-29,5
"Cataluña","Spain",2020-03-01,6
"Cataluña","Spain",2020-03-02,15
"Cataluña","Spain",2020-03-03,15
"Cataluña","Spain",2020-03-04,15
"Cataluña","Spain",2020-03-05,24
"Cataluña","Spain",2020-03-06,24
"Cataluña","Spain",2020-03-07,24
"Cataluña","Spain",2020-03-08,49
"Cataluña","Spain",2020-03-09,75
"Cataluña","Spain",2020-03-10,124
"Cataluña","Spain",2020-03-11,156
"Cataluña","Spain",2020-03-12,260
"Cataluña","Spain",2020-03-13,316
"Cataluña","Spain",2020-03-14,509
"Cataluña","Spain",2020-03-15,715
"Cataluña","Spain",2020-03-16,903
"Cataluña","Spain",2020-03-17,1394
"Cataluña","Spain",2020-03-18,1866
"Cataluña","Spain",2020-03-19,2702
"Cataluña","Spain",2020-03-20,3270
"Cataluña","Spain",2020-03-21,4203
"Cataluña","Spain",2020-03-22,4704
"Cataluña","Spain",2020-03-23,5925
"Cataluña","Spain",2020-03-24,7864
"Cataluña","Spain",2020-03-25,9937
"Cataluña","Spain",2020-03-26,11592
"Cataluña","Spain",2020-03-27,12940
"Cataluña","Spain",2020-03-28,14263
"Cataluña","Spain",2020-03-29,15026
"Cataluña","Spain",2020-03-30,16157
"Cataluña","Spain",2020-03-31,18773
"Cataluña","Spain",2020-04-01,19991
"Cataluña","Spain",2020-04-02,21804
"Cataluña","Spain",2020-04-03,23460
"Cataluña","Spain",2020-04-04,24734
"Cataluña","Spain",2020-04-05,26032
"Cataluña","Spain",2020-04-06,26824
"Cataluña","Spain",2020-04-07,28323
"Cataluña","Spain",2020-04-08,29647
"Cataluña","Spain",2020-04-09,31043
"Cataluña","Spain",2020-04-10,31824
"Cataluña","Spain",2020-04-11,32984
"Cataluña","Spain",2020-04-12,34027
"Cataluña","Spain",2020-04-13,34726
"Cataluña","Spain",2020-04-14,35197
"Cataluña","Spain",2020-04-15,36505
"Cataluña","Spain",2020-04-16,37354
"Cataluña","Spain",2020-04-17,38316
"Cataluña","Spain",2020-04-18,39943
"Cataluña","Spain",2020-04-19,40600
"Cataluña","Spain",2020-04-20,41676
"Cataluña","Spain",2020-04-21,43112
"Cataluña","Spain",2020-04-22,43802
"Cataluña","Spain",2020-04-23,44892
"Cataluña","Spain",2020-04-24,46571
"Madrid","Spain",2020-02-27,4
"Madrid","Spain",2020-02-28,5
"Madrid","Spain",2020-02-29,8
"Madrid","Spain",2020-03-01,10
"Madrid","Spain",2020-03-02,29
"Madrid","Spain",2020-03-03,49
"Madrid","Spain",2020-03-04,70
"Madrid","Spain",2020-03-05,90
"Madrid","Spain",2020-03-06,137
"Madrid","Spain",2020-03-07,174
"Madrid","Spain",2020-03-08,202
"Madrid","Spain",2020-03-09,469
"Madrid","Spain",2020-03-10,782
"Madrid","Spain",2020-03-11,1024
"Madrid","Spain",2020-03-12,1388
"Madrid","Spain",2020-03-13,1990
"Madrid","Spain",2020-03-14,2940
"Madrid","Spain",2020-03-15,3544
"Madrid","Spain",2020-03-16,4165
"Madrid","Spain",2020-03-17,4871
"Madrid","Spain",2020-03-18,5637
"Madrid","Spain",2020-03-19,6777
"Madrid","Spain",2020-03-20,7165
"Madrid","Spain",2020-03-21,8921
"Madrid","Spain",2020-03-22,9702
"Madrid","Spain",2020-03-23,10575
"Madrid","Spain",2020-03-24,12352
"Madrid","Spain",2020-03-25,14597
"Madrid","Spain",2020-03-26,17166
"Madrid","Spain",2020-03-27,19243
"Madrid","Spain",2020-03-28,21520
"Madrid","Spain",2020-03-29,22677
"Madrid","Spain",2020-03-30,24090
"Madrid","Spain",2020-03-31,27509
"Madrid","Spain",2020-04-01,29840
"Madrid","Spain",2020-04-02,32155
"Madrid","Spain",2020-04-03,34188
"Madrid","Spain",2020-04-04,36249
"Madrid","Spain",2020-04-05,37584
"Madrid","Spain",2020-04-06,38723
"Madrid","Spain",2020-04-07,40469
"Madrid","Spain",2020-04-08,42450
"Madrid","Spain",2020-04-09,43877
"Madrid","Spain",2020-04-10,44783
"Madrid","Spain",2020-04-11,45849
"Madrid","Spain",2020-04-12,46587
"Madrid","Spain",2020-04-13,47146
"Madrid","Spain",2020-04-14,48048
"Madrid","Spain",2020-04-15,49526
"Madrid","Spain",2020-04-16,50694
"Madrid","Spain",2020-04-17,51993
"Madrid","Spain",2020-04-18,52946
"Madrid","Spain",2020-04-19,54884
"Madrid","Spain",2020-04-20,56963
"Madrid","Spain",2020-04-21,57997
"Madrid","Spain",2020-04-22,59199
"Madrid","Spain",2020-04-23,60487
"Madrid","Spain",2020-04-24,61726
