"state","country","date","cases"
"Lazio","Italy",2020-02-24,3
"Lazio","Italy",2020-02-25,3
"Lazio","Italy",2020-02-26,3
"Lazio","Italy",2020-02-27,3
"Lazio","Italy",2020-02-28,3
"Lazio","Italy",2020-02-29,6
"Lazio","Italy",2020-03-01,6
"Lazio","Italy",2020-03-02,7
"Lazio","Italy",2020-03-03,14
"Lazio","Italy",2020-03-04,30
"Lazio","Italy",2020-03-05,44
"Lazio","Italy",2020-03-06,54
"Lazio","Italy",2020-03-07,76
"Lazio","Italy",2020-03-08,87
"Lazio","Italy",2020-03-09,102
"Lazio","Italy",2020-03-10,116
"Lazio","Italy",2020-03-11,150
"Lazio","Italy",2020-03-12,200
"Lazio","Italy",2020-03-13,277
"Lazio","Italy",2020-03-14,357
"Lazio","Italy",2020-03-15,436
"Lazio","Italy",2020-03-16,523
"Lazio","Italy",2020-03-17,607
"Lazio","Italy",2020-03-18,724
"Lazio","Italy",2020-03-19,823
"Lazio","Italy",2020-03-20,1008
"Lazio","Italy",2020-03-21,1190
"Lazio","Italy",2020-03-22,1383
"Lazio","Italy",2020-03-23,1540
"Lazio","Italy",2020-03-24,1728
"Lazio","Italy",2020-03-25,1901
"Lazio","Italy",2020-03-26,2096
"Lazio","Italy",2020-03-27,2295
"Lazio","Italy",2020-03-28,2505
"Lazio","Italy",2020-03-29,2706
"Lazio","Italy",2020-03-30,2914
"Lazio","Italy",2020-03-31,3095
"Lazio","Italy",2020-04-01,3264
"Lazio","Italy",2020-04-02,3433
"Lazio","Italy",2020-04-03,3600
"Lazio","Italy",2020-04-04,3757
"Lazio","Italy",2020-04-05,3880
"Lazio","Italy",2020-04-06,4031
"Lazio","Italy",2020-04-07,4149
"Lazio","Italy",2020-04-08,4266
"Lazio","Italy",2020-04-09,4429
"Lazio","Italy",2020-04-10,4583
"Lazio","Italy",2020-04-11,4723
"Lazio","Italy",2020-04-12,4845
"Lazio","Italy",2020-04-13,4968
"Lazio","Italy",2020-04-14,5111
"Lazio","Italy",2020-04-15,5232
"Lazio","Italy",2020-04-16,5380
"Lazio","Italy",2020-04-17,5524
"Lazio","Italy",2020-04-18,5668
"Lazio","Italy",2020-04-19,5755
"Lazio","Italy",2020-04-20,5815
"Lazio","Italy",2020-04-21,5895
"Lazio","Italy",2020-04-22,5975
"Lazio","Italy",2020-04-23,6054
"Lombardia","Italy",2020-02-24,172
"Lombardia","Italy",2020-02-25,240
"Lombardia","Italy",2020-02-26,258
"Lombardia","Italy",2020-02-27,403
"Lombardia","Italy",2020-02-28,531
"Lombardia","Italy",2020-02-29,615
"Lombardia","Italy",2020-03-01,984
"Lombardia","Italy",2020-03-02,1254
"Lombardia","Italy",2020-03-03,1520
"Lombardia","Italy",2020-03-04,1820
"Lombardia","Italy",2020-03-05,2251
"Lombardia","Italy",2020-03-06,2612
"Lombardia","Italy",2020-03-07,3420
"Lombardia","Italy",2020-03-08,4189
"Lombardia","Italy",2020-03-09,5469
"Lombardia","Italy",2020-03-10,5791
"Lombardia","Italy",2020-03-11,7280
"Lombardia","Italy",2020-03-12,8725
"Lombardia","Italy",2020-03-13,9820
"Lombardia","Italy",2020-03-14,11685
"Lombardia","Italy",2020-03-15,13272
"Lombardia","Italy",2020-03-16,14649
"Lombardia","Italy",2020-03-17,16220
"Lombardia","Italy",2020-03-18,17713
"Lombardia","Italy",2020-03-19,19884
"Lombardia","Italy",2020-03-20,22264
"Lombardia","Italy",2020-03-21,25515
"Lombardia","Italy",2020-03-22,27206
"Lombardia","Italy",2020-03-23,28761
"Lombardia","Italy",2020-03-24,30703
"Lombardia","Italy",2020-03-25,32346
"Lombardia","Italy",2020-03-26,34889
"Lombardia","Italy",2020-03-27,37298
"Lombardia","Italy",2020-03-28,39415
"Lombardia","Italy",2020-03-29,41007
"Lombardia","Italy",2020-03-30,42161
"Lombardia","Italy",2020-03-31,43208
"Lombardia","Italy",2020-04-01,44773
"Lombardia","Italy",2020-04-02,46065
"Lombardia","Italy",2020-04-03,47520
"Lombardia","Italy",2020-04-04,49118
"Lombardia","Italy",2020-04-05,50455
"Lombardia","Italy",2020-04-06,51534
"Lombardia","Italy",2020-04-07,52325
"Lombardia","Italy",2020-04-08,53414
"Lombardia","Italy",2020-04-09,54802
"Lombardia","Italy",2020-04-10,56048
"Lombardia","Italy",2020-04-11,57592
"Lombardia","Italy",2020-04-12,59052
"Lombardia","Italy",2020-04-13,60314
"Lombardia","Italy",2020-04-14,61326
"Lombardia","Italy",2020-04-15,62153
"Lombardia","Italy",2020-04-16,63094
"Lombardia","Italy",2020-04-17,64135
"Lombardia","Italy",2020-04-18,65381
"Lombardia","Italy",2020-04-19,66236
"Lombardia","Italy",2020-04-20,66971
"Lombardia","Italy",2020-04-21,67931
"Lombardia","Italy",2020-04-22,69092
"Lombardia","Italy",2020-04-23,70165
