"state","country","date","cases"
"","Afghanistan","2020-01-22",0
"","Afghanistan","2020-01-23",0
"","Afghanistan","2020-01-24",0
"","Afghanistan","2020-01-25",0
"","Afghanistan","2020-01-26",0
"","Afghanistan","2020-01-27",0
"","Afghanistan","2020-01-28",0
"","Afghanistan","2020-01-29",0
"","Afghanistan","2020-01-30",0
"","Afghanistan","2020-01-31",0
"","Afghanistan","2020-02-01",0
"","Afghanistan","2020-02-02",0
"","Afghanistan","2020-02-03",0
"","Afghanistan","2020-02-04",0
"","Afghanistan","2020-02-05",0
"","Afghanistan","2020-02-06",0
"","Afghanistan","2020-02-07",0
"","Afghanistan","2020-02-08",0
"","Afghanistan","2020-02-09",0
"","Afghanistan","2020-02-10",0
"","Afghanistan","2020-02-11",0
"","Afghanistan","2020-02-12",0
"","Afghanistan","2020-02-13",0
"","Afghanistan","2020-02-14",0
"","Afghanistan","2020-02-15",0
"","Afghanistan","2020-02-16",0
"","Afghanistan","2020-02-17",0
"","Afghanistan","2020-02-18",0
"","Afghanistan","2020-02-19",0
"","Afghanistan","2020-02-20",0
"","Afghanistan","2020-02-21",0
"","Afghanistan","2020-02-22",0
"","Afghanistan","2020-02-23",0
"","Afghanistan","2020-02-24",1
"","Afghanistan","2020-02-25",1
"","Afghanistan","2020-02-26",1
"","Afghanistan","2020-02-27",1
"","Afghanistan","2020-02-28",1
"","Afghanistan","2020-02-29",1
"","Afghanistan","2020-03-01",1
"","Afghanistan","2020-03-02",1
"","Afghanistan","2020-03-03",1
"","Afghanistan","2020-03-04",1
"","Afghanistan","2020-03-05",1
"","Afghanistan","2020-03-06",1
"","Afghanistan","2020-03-07",1
"","Afghanistan","2020-03-08",4
"","Afghanistan","2020-03-09",4
"","Afghanistan","2020-03-10",5
"","Afghanistan","2020-03-11",7
"","Afghanistan","2020-03-12",7
"","Afghanistan","2020-03-13",7
"","Afghanistan","2020-03-14",11
"","Afghanistan","2020-03-15",16
"","Afghanistan","2020-03-16",21
"","Afghanistan","2020-03-17",22
"","Afghanistan","2020-03-18",22
"","Afghanistan","2020-03-19",22
"","Afghanistan","2020-03-20",24
"","Afghanistan","2020-03-21",24
"","Afghanistan","2020-03-22",40
"","Afghanistan","2020-03-23",40
"","Afghanistan","2020-03-24",74
"","Afghanistan","2020-03-25",84
"","Afghanistan","2020-03-26",94
"","Afghanistan","2020-03-27",110
"","Afghanistan","2020-03-28",110
"","Afghanistan","2020-03-29",120
"","Afghanistan","2020-03-30",170
"","Afghanistan","2020-03-31",174
"","Afghanistan","2020-04-01",237
"","Afghanistan","2020-04-02",273
"","Afghanistan","2020-04-03",281
"","Afghanistan","2020-04-04",299
"","Afghanistan","2020-04-05",349
"","Afghanistan","2020-04-06",367
"","Afghanistan","2020-04-07",423
"","Afghanistan","2020-04-08",444
"","Afghanistan","2020-04-09",484
"","Afghanistan","2020-04-10",521
"","Afghanistan","2020-04-11",555
"","Afghanistan","2020-04-12",607
"","Afghanistan","2020-04-13",665
"","Afghanistan","2020-04-14",714
"","Afghanistan","2020-04-15",784
"","Afghanistan","2020-04-16",840
"","Afghanistan","2020-04-17",906
"","Afghanistan","2020-04-18",933
"","Afghanistan","2020-04-19",996
"","Afghanistan","2020-04-20",1026
"","Afghanistan","2020-04-21",1092
"","Afghanistan","2020-04-22",1176
"","Afghanistan","2020-04-23",1279
"","Albania","2020-01-22",0
"","Albania","2020-01-23",0
"","Albania","2020-01-24",0
"","Albania","2020-01-25",0
"","Albania","2020-01-26",0
"","Albania","2020-01-27",0
"","Albania","2020-01-28",0
"","Albania","2020-01-29",0
"","Albania","2020-01-30",0
"","Albania","2020-01-31",0
"","Albania","2020-02-01",0
"","Albania","2020-02-02",0
"","Albania","2020-02-03",0
"","Albania","2020-02-04",0
"","Albania","2020-02-05",0
"","Albania","2020-02-06",0
"","Albania","2020-02-07",0
"","Albania","2020-02-08",0
"","Albania","2020-02-09",0
"","Albania","2020-02-10",0
"","Albania","2020-02-11",0
"","Albania","2020-02-12",0
"","Albania","2020-02-13",0
"","Albania","2020-02-14",0
"","Albania","2020-02-15",0
"","Albania","2020-02-16",0
"","Albania","2020-02-17",0
"","Albania","2020-02-18",0
"","Albania","2020-02-19",0
"","Albania","2020-02-20",0
"","Albania","2020-02-21",0
"","Albania","2020-02-22",0
"","Albania","2020-02-23",0
"","Albania","2020-02-24",0
"","Albania","2020-02-25",0
"","Albania","2020-02-26",0
"","Albania","2020-02-27",0
"","Albania","2020-02-28",0
"","Albania","2020-02-29",0
"","Albania","2020-03-01",0
"","Albania","2020-03-02",0
"","Albania","2020-03-03",0
"","Albania","2020-03-04",0
"","Albania","2020-03-05",0
"","Albania","2020-03-06",0
"","Albania","2020-03-07",0
"","Albania","2020-03-08",0
"","Albania","2020-03-09",2
"","Albania","2020-03-10",10
"","Albania","2020-03-11",12
"","Albania","2020-03-12",23
"","Albania","2020-03-13",33
