"city","date","cases"
"Tokyo",2020-02-28,37
"Tokyo",2020-02-29,0
"Tokyo",2020-03-01,2
"Tokyo",2020-03-02,0
"Tokyo",2020-03-03,1
"Tokyo",2020-03-04,4
"Tokyo",2020-03-05,8
"Tokyo",2020-03-06,6
"Tokyo",2020-03-07,6
"Tokyo",2020-03-08,0
"Tokyo",2020-03-09,0
"Tokyo",2020-03-10,3
"Tokyo",2020-03-11,6
"Tokyo",2020-03-12,2
"Tokyo",2020-03-13,2
"Tokyo",2020-03-14,10
"Tokyo",2020-03-15,3
"Tokyo",2020-03-16,0
"Tokyo",2020-03-17,12
"Tokyo",2020-03-18,9
"Tokyo",2020-03-19,7
"Tokyo",2020-03-20,11
"Tokyo",2020-03-21,7
"Tokyo",2020-03-22,2
"Tokyo",2020-03-23,16
"Tokyo",2020-03-24,17
"Tokyo",2020-03-25,41
"Tokyo",2020-03-26,47
"Tokyo",2020-03-27,40
"Tokyo",2020-03-28,63
"Tokyo",2020-03-29,68
"Tokyo",2020-03-30,13
"Tokyo",2020-03-31,78
"Tokyo",2020-04-01,66
"Tokyo",2020-04-02,97
"Tokyo",2020-04-03,89
"Tokyo",2020-04-04,116
"Tokyo",2020-04-05,144
"Tokyo",2020-04-06,83
"Tokyo",2020-04-07,79
"Tokyo",2020-04-08,143
"Tokyo",2020-04-09,178
"Tokyo",2020-04-10,187
"Tokyo",2020-04-11,199
"Tokyo",2020-04-12,166
"Tokyo",2020-04-13,90
"Tokyo",2020-04-14,160
"Tokyo",2020-04-15,127
"Tokyo",2020-04-16,150
"Tokyo",2020-04-17,199
"Tokyo",2020-04-18,181
"Tokyo",2020-04-19,107
"Tokyo",2020-04-20,102
"Tokyo",2020-04-21,123
"Tokyo",2020-04-22,132
"Tokyo",2020-04-23,133
"Tokyo",2020-04-24,161
"Tokyo",2020-04-25,103
"Tokyo",2020-04-26,72
"Tokyo",2020-04-27,39
"Tokyo",2020-04-28,112
"Tokyo",2020-04-29,47
"Tokyo",2020-04-30,46
"Tokyo",2020-05-01,165
"Tokyo",2020-05-02,157
"Tokyo",2020-05-03,94
"Tokyo",2020-05-04,86
"Tokyo",2020-05-05,58
"Tokyo",2020-05-06,36
"Tokyo",2020-05-07,23
"Tokyo",2020-05-08,39
"Tokyo",2020-05-09,36
"Tokyo",2020-05-10,22
"Tokyo",2020-05-11,15
"Tokyo",2020-05-12,104
"Tokyo",2020-05-13,10
"Tokyo",2020-05-14,30
"Tokyo",2020-05-15,9
"Tokyo",2020-05-16,14
"Tokyo",2020-05-17,5
"Tokyo",2020-05-18,10
"Tokyo",2020-05-19,5
"Tokyo",2020-05-20,5
"Tokyo",2020-05-21,58
"Tokyo",2020-05-22,3
"Tokyo",2020-05-23,2
"Tokyo",2020-05-24,14
"Tokyo",2020-05-25,8
"Tokyo",2020-05-26,10
"Tokyo",2020-05-27,10
"Tokyo",2020-05-28,15
"Tokyo",2020-05-29,22
"Tokyo",2020-05-30,14
"Tokyo",2020-05-31,5
"Tokyo",2020-06-01,13
"Tokyo",2020-06-02,34
"Tokyo",2020-06-03,12
"Tokyo",2020-06-04,28
"Tokyo",2020-06-05,20
"Tokyo",2020-06-06,26
"Tokyo",2020-06-07,14
"Tokyo",2020-06-08,13
"Tokyo",2020-06-09,12
"Tokyo",2020-06-10,18
"Tokyo",2020-06-11,22
"Tokyo",2020-06-12,25
"Tokyo",2020-06-13,24
"Tokyo",2020-06-14,47
"Tokyo",2020-06-15,48
"Tokyo",2020-06-16,27
"Tokyo",2020-06-17,14
"Tokyo",2020-06-18,41
"Tokyo",2020-06-19,35
"Tokyo",2020-06-20,39
"Tokyo",2020-06-21,35
"Tokyo",2020-06-22,29
"Tokyo",2020-06-23,28
"Tokyo",2020-06-24,55
"Tokyo",2020-06-25,48
"Tokyo",2020-06-26,54
"Tokyo",2020-06-27,57
"Tokyo",2020-06-28,60
"Tokyo",2020-06-29,57
"Tokyo",2020-06-30,54
"Tokyo",2020-07-01,67
"Tokyo",2020-07-02,107
"Tokyo",2020-07-03,124
"Tokyo",2020-07-04,131
"Tokyo",2020-07-05,111
"Tokyo",2020-07-06,102
"Tokyo",2020-07-07,106
"Tokyo",2020-07-08,75
"Tokyo",2020-07-09,224
"Tokyo",2020-07-10,243
"Tokyo",2020-07-11,206
"Tokyo",2020-07-12,206
"Tokyo",2020-07-13,119
"Tokyo",2020-07-14,143
"Tokyo",2020-07-15,165
"Tokyo",2020-07-16,286
"Tokyo",2020-07-17,293
"Tokyo",2020-07-18,290
"Tokyo",2020-07-19,188
"Tokyo",2020-07-20,168
"Tokyo",2020-07-21,237
"Tokyo",2020-07-22,238
"Tokyo",2020-07-23,366
"Tokyo",2020-07-24,260
"Tokyo",2020-07-25,295
"Tokyo",2020-07-26,239
"Tokyo",2020-07-27,131
"Tokyo",2020-07-28,266
"Tokyo",2020-07-29,250
"Tokyo",2020-07-30,367
"Tokyo",2020-07-31,463
"Tokyo",2020-08-01,472
"Tokyo",2020-08-02,292
"Tokyo",2020-08-03,258
"Tokyo",2020-08-04,309
"Tokyo",2020-08-05,263
"Tokyo",2020-08-06,360
"Tokyo",2020-08-07,462
"Tokyo",2020-08-08,429
"Tokyo",2020-08-09,331
"Tokyo",2020-08-10,197
"Tokyo",2020-08-11,188
"Tokyo",2020-08-12,222
"Tokyo",2020-08-13,206
"Tokyo",2020-08-14,389
"Tokyo",2020-08-15,385
"Tokyo",2020-08-16,260
"Tokyo",2020-08-17,161
"Tokyo",2020-08-18,207
"Tokyo",2020-08-19,186
"Tokyo",2020-08-20,339
"Tokyo",2020-08-21,258
"Tokyo",2020-08-22,256
"Tokyo",2020-08-23,212
"Tokyo",2020-08-24,95
"Tokyo",2020-08-25,182
"Tokyo",2020-08-26,236
"Tokyo",2020-08-27,250
"Tokyo",2020-08-28,226
"Tokyo",2020-08-29,247
"Tokyo",2020-08-30,148
"Tokyo",2020-08-31,100
"Tokyo",2020-09-01,170
"Tokyo",2020-09-02,141
"Tokyo",2020-09-03,211
"Tokyo",2020-09-04,136
"Tokyo",2020-09-05,181
"Tokyo",2020-09-06,116
"Tokyo",2020-09-07,77
"Tokyo",2020-09-08,170
"Tokyo",2020-09-09,149
"Tokyo",2020-09-10,276
