"state","country","date","cases"
"Seoul","South Korea",2020-01-20,0
"Seoul","South Korea",2020-01-21,0
"Seoul","South Korea",2020-01-22,0
"Seoul","South Korea",2020-01-23,0
"Seoul","South Korea",2020-01-24,0
"Seoul","South Korea",2020-01-25,0
"Seoul","South Korea",2020-01-26,0
"Seoul","South Korea",2020-01-27,1
"Seoul","South Korea",2020-01-28,1
"Seoul","South Korea",2020-01-29,1
"Seoul","South Korea",2020-01-30,3
"Seoul","South Korea",2020-01-31,4
"Seoul","South Korea",2020-02-01,4
"Seoul","South Korea",2020-02-02,5
"Seoul","South Korea",2020-02-03,5
"Seoul","South Korea",2020-02-04,5
"Seoul","South Korea",2020-02-05,5
"Seoul","South Korea",2020-02-06,10
"Seoul","South Korea",2020-02-07,11
"Seoul","South Korea",2020-02-08,11
"Seoul","South Korea",2020-02-09,14
"Seoul","South Korea",2020-02-10,14
"Seoul","South Korea",2020-02-11,14
"Seoul","South Korea",2020-02-12,14
"Seoul","South Korea",2020-02-13,14
"Seoul","South Korea",2020-02-14,14
"Seoul","South Korea",2020-02-15,14
"Seoul","South Korea",2020-02-16,14
"Seoul","South Korea",2020-02-17,14
"Seoul","South Korea",2020-02-18,14
"Seoul","South Korea",2020-02-19,20
"Seoul","South Korea",2020-02-20,22
"Seoul","South Korea",2020-02-21,27
"Seoul","South Korea",2020-02-22,30
"Seoul","South Korea",2020-02-23,31
"Seoul","South Korea",2020-02-24,35
"Seoul","South Korea",2020-02-25,41
"Seoul","South Korea",2020-02-26,49
"Seoul","South Korea",2020-02-27,56
"Seoul","South Korea",2020-02-28,62
"Seoul","South Korea",2020-02-29,77
"Seoul","South Korea",2020-03-01,87
"Seoul","South Korea",2020-03-02,91
"Seoul","South Korea",2020-03-03,98
"Seoul","South Korea",2020-03-04,99
"Seoul","South Korea",2020-03-05,103
"Seoul","South Korea",2020-03-06,105
"Seoul","South Korea",2020-03-07,108
"Seoul","South Korea",2020-03-08,120
"Seoul","South Korea",2020-03-09,130
"Seoul","South Korea",2020-03-10,141
"Seoul","South Korea",2020-03-11,193
"Seoul","South Korea",2020-03-12,212
"Seoul","South Korea",2020-03-13,225
"Seoul","South Korea",2020-03-14,238
"Seoul","South Korea",2020-03-15,247
"Seoul","South Korea",2020-03-16,253
"Seoul","South Korea",2020-03-17,265
"Seoul","South Korea",2020-03-18,270
"Seoul","South Korea",2020-03-19,282
"Seoul","South Korea",2020-03-20,299
"Seoul","South Korea",2020-03-21,314
"Seoul","South Korea",2020-03-22,324
"Seoul","South Korea",2020-03-23,330
"Seoul","South Korea",2020-03-24,334
"Seoul","South Korea",2020-03-25,347
"Seoul","South Korea",2020-03-26,360
"Seoul","South Korea",2020-03-27,372
"Seoul","South Korea",2020-03-28,390
"Seoul","South Korea",2020-03-29,410
"Seoul","South Korea",2020-03-30,426
"Seoul","South Korea",2020-03-31,450
"Seoul","South Korea",2020-04-01,474
"Seoul","South Korea",2020-04-02,488
"Seoul","South Korea",2020-04-03,506
"Seoul","South Korea",2020-04-04,528
"Seoul","South Korea",2020-04-05,552
"Seoul","South Korea",2020-04-06,563
"Seoul","South Korea",2020-04-07,567
"Seoul","South Korea",2020-04-08,578
"Seoul","South Korea",2020-04-09,590
"Seoul","South Korea",2020-04-10,595
"Seoul","South Korea",2020-04-11,599
"Seoul","South Korea",2020-04-12,602
"Seoul","South Korea",2020-04-13,610
"Seoul","South Korea",2020-04-14,612
"Seoul","South Korea",2020-04-15,617
"Seoul","South Korea",2020-04-16,619
"Seoul","South Korea",2020-04-17,621
"Seoul","South Korea",2020-04-18,622
"Seoul","South Korea",2020-04-19,624
"Seoul","South Korea",2020-04-20,624
