"state","country","date","cases"
"Los Angeles","United States",2020-01-26,1
"Los Angeles","United States",2020-01-27,1
"Los Angeles","United States",2020-01-28,1
"Los Angeles","United States",2020-01-29,1
"Los Angeles","United States",2020-01-30,1
"Los Angeles","United States",2020-01-31,1
"Los Angeles","United States",2020-02-01,1
"Los Angeles","United States",2020-02-02,1
"Los Angeles","United States",2020-02-03,1
"Los Angeles","United States",2020-02-04,1
"Los Angeles","United States",2020-02-05,1
"Los Angeles","United States",2020-02-06,1
"Los Angeles","United States",2020-02-07,1
"Los Angeles","United States",2020-02-08,1
"Los Angeles","United States",2020-02-09,1
"Los Angeles","United States",2020-02-10,1
"Los Angeles","United States",2020-02-11,1
"Los Angeles","United States",2020-02-12,1
"Los Angeles","United States",2020-02-13,1
"Los Angeles","United States",2020-02-14,1
"Los Angeles","United States",2020-02-15,1
"Los Angeles","United States",2020-02-16,1
"Los Angeles","United States",2020-02-17,1
"Los Angeles","United States",2020-02-18,1
"Los Angeles","United States",2020-02-19,1
"Los Angeles","United States",2020-02-20,1
"Los Angeles","United States",2020-02-21,1
"Los Angeles","United States",2020-02-22,1
"Los Angeles","United States",2020-02-23,1
"Los Angeles","United States",2020-02-24,1
"Los Angeles","United States",2020-02-25,1
"Los Angeles","United States",2020-02-26,1
"Los Angeles","United States",2020-02-27,1
"Los Angeles","United States",2020-02-28,1
"Los Angeles","United States",2020-02-29,1
"Los Angeles","United States",2020-03-01,1
"Los Angeles","United States",2020-03-02,1
"Los Angeles","United States",2020-03-03,1
"Los Angeles","United States",2020-03-04,7
"Los Angeles","United States",2020-03-05,11
"Los Angeles","United States",2020-03-06,13
"Los Angeles","United States",2020-03-07,14
"Los Angeles","United States",2020-03-08,14
"Los Angeles","United States",2020-03-09,19
"Los Angeles","United States",2020-03-10,20
"Los Angeles","United States",2020-03-11,28
"Los Angeles","United States",2020-03-12,32
"Los Angeles","United States",2020-03-13,40
"Los Angeles","United States",2020-03-14,53
"Los Angeles","United States",2020-03-15,69
"Los Angeles","United States",2020-03-16,94
"Los Angeles","United States",2020-03-17,144
"Los Angeles","United States",2020-03-18,190
"Los Angeles","United States",2020-03-19,231
"Los Angeles","United States",2020-03-20,292
"Los Angeles","United States",2020-03-21,351
"Los Angeles","United States",2020-03-22,421
"Los Angeles","United States",2020-03-23,536
"Los Angeles","United States",2020-03-24,662
"Los Angeles","United States",2020-03-25,799
"Los Angeles","United States",2020-03-26,1216
"Los Angeles","United States",2020-03-27,1465
"Los Angeles","United States",2020-03-28,1804
"Los Angeles","United States",2020-03-29,2136
"Los Angeles","United States",2020-03-30,2474
"Los Angeles","United States",2020-03-31,3011
"Los Angeles","United States",2020-04-01,3518
"Los Angeles","United States",2020-04-02,4045
"Los Angeles","United States",2020-04-03,4566
"Los Angeles","United States",2020-04-04,5277
"Los Angeles","United States",2020-04-05,5940
"Los Angeles","United States",2020-04-06,6360
"Los Angeles","United States",2020-04-07,6910
"Los Angeles","United States",2020-04-08,7530
"Los Angeles","United States",2020-04-09,7955
"Los Angeles","United States",2020-04-10,8430
"Los Angeles","United States",2020-04-11,8873
"Los Angeles","United States",2020-04-12,9192
"Los Angeles","United States",2020-04-13,9420
"Los Angeles","United States",2020-04-14,10047
"Los Angeles","United States",2020-04-15,10496
"Los Angeles","United States",2020-04-16,10854
"Los Angeles","United States",2020-04-17,11391
"Los Angeles","United States",2020-04-18,12021
"Los Angeles","United States",2020-04-19,12341
"Los Angeles","United States",2020-04-20,13816
"Los Angeles","United States",2020-04-21,15140
"Los Angeles","United States",2020-04-22,16435
"Los Angeles","United States",2020-04-23,17508
"San Francisco","United States",2020-02-02,2
"San Francisco","United States",2020-02-03,2
"San Francisco","United States",2020-02-04,2
"San Francisco","United States",2020-02-05,2
"San Francisco","United States",2020-02-06,2
"San Francisco","United States",2020-02-07,2
"San Francisco","United States",2020-02-08,2
"San Francisco","United States",2020-02-09,2
"San Francisco","United States",2020-02-10,2
"San Francisco","United States",2020-02-11,2
"San Francisco","United States",2020-02-12,2
"San Francisco","United States",2020-02-13,2
"San Francisco","United States",2020-02-14,2
"San Francisco","United States",2020-02-15,2
"San Francisco","United States",2020-02-16,2
"San Francisco","United States",2020-02-17,2
"San Francisco","United States",2020-02-18,2
"San Francisco","United States",2020-02-19,2
"San Francisco","United States",2020-02-20,2
"San Francisco","United States",2020-02-21,2
"San Francisco","United States",2020-02-22,2
"San Francisco","United States",2020-02-23,2
"San Francisco","United States",2020-02-24,3
"San Francisco","United States",2020-02-25,3
"San Francisco","United States",2020-02-26,3
"San Francisco","United States",2020-02-27,3
"San Francisco","United States",2020-02-28,3
"San Francisco","United States",2020-02-29,3
"San Francisco","United States",2020-03-01,3
"San Francisco","United States",2020-03-02,3
"San Francisco","United States",2020-03-03,3
"San Francisco","United States",2020-03-04,3
"San Francisco","United States",2020-03-05,5
"San Francisco","United States",2020-03-06,5
"San Francisco","United States",2020-03-07,11
"San Francisco","United States",2020-03-08,11
"San Francisco","United States",2020-03-09,16
"San Francisco","United States",2020-03-10,17
"San Francisco","United States",2020-03-11,17
"San Francisco","United States",2020-03-12,21
"San Francisco","United States",2020-03-13,26
"San Francisco","United States",2020-03-14,31
"San Francisco","United States",2020-03-15,37
"San Francisco","United States",2020-03-16,43
"San Francisco","United States",2020-03-17,46
"San Francisco","United States",2020-03-18,51
"San Francisco","United States",2020-03-19,73
"San Francisco","United States",2020-03-20,79
"San Francisco","United States",2020-03-21,84
"San Francisco","United States",2020-03-22,111
"San Francisco","United States",2020-03-23,134
"San Francisco","United States",2020-03-24,152
"San Francisco","United States",2020-03-25,181
"San Francisco","United States",2020-03-26,226
"San Francisco","United States",2020-03-27,282
"San Francisco","United States",2020-03-28,308
"San Francisco","United States",2020-03-29,343
"San Francisco","United States",2020-03-30,374
"San Francisco","United States",2020-03-31,400
"San Francisco","United States",2020-04-01,437
"San Francisco","United States",2020-04-02,450
"San Francisco","United States",2020-04-03,500
"San Francisco","United States",2020-04-04,529
"San Francisco","United States",2020-04-05,571
"San Francisco","United States",2020-04-06,586
"San Francisco","United States",2020-04-07,622
"San Francisco","United States",2020-04-08,679
"San Francisco","United States",2020-04-09,727
"San Francisco","United States",2020-04-10,800
