"state","country","date","cases"
"Lisbon and Tagus Valley","Portugal",2020-03-02,0
"Lisbon and Tagus Valley","Portugal",2020-03-03,1
"Lisbon and Tagus Valley","Portugal",2020-03-04,2
"Lisbon and Tagus Valley","Portugal",2020-03-05,3
"Lisbon and Tagus Valley","Portugal",2020-03-06,4
"Lisbon and Tagus Valley","Portugal",2020-03-07,5
"Lisbon and Tagus Valley","Portugal",2020-03-08,5
"Lisbon and Tagus Valley","Portugal",2020-03-09,9
"Lisbon and Tagus Valley","Portugal",2020-03-10,11
"Lisbon and Tagus Valley","Portugal",2020-03-11,17
"Lisbon and Tagus Valley","Portugal",2020-03-12,22
"Lisbon and Tagus Valley","Portugal",2020-03-13,46
"Lisbon and Tagus Valley","Portugal",2020-03-14,73
"Lisbon and Tagus Valley","Portugal",2020-03-15,116
"Lisbon and Tagus Valley","Portugal",2020-03-16,142
"Lisbon and Tagus Valley","Portugal",2020-03-17,180
"Lisbon and Tagus Valley","Portugal",2020-03-18,243
"Lisbon and Tagus Valley","Portugal",2020-03-19,278
"Lisbon and Tagus Valley","Portugal",2020-03-20,361
"Lisbon and Tagus Valley","Portugal",2020-03-21,448
"Lisbon and Tagus Valley","Portugal",2020-03-22,534
"Lisbon and Tagus Valley","Portugal",2020-03-23,737
"Lisbon and Tagus Valley","Portugal",2020-03-24,852
"Lisbon and Tagus Valley","Portugal",2020-03-25,992
"Lisbon and Tagus Valley","Portugal",2020-03-26,1082
"Lisbon and Tagus Valley","Portugal",2020-03-27,1110
"Lisbon and Tagus Valley","Portugal",2020-03-28,1287
"Lisbon and Tagus Valley","Portugal",2020-03-29,1478
"Lisbon and Tagus Valley","Portugal",2020-03-30,1577
"Lisbon and Tagus Valley","Portugal",2020-03-31,1799
"Lisbon and Tagus Valley","Portugal",2020-04-01,1998
"Lisbon and Tagus Valley","Portugal",2020-04-02,2207
"Lisbon and Tagus Valley","Portugal",2020-04-03,2347
"Lisbon and Tagus Valley","Portugal",2020-04-04,2513
"Lisbon and Tagus Valley","Portugal",2020-04-05,2904
"Lisbon and Tagus Valley","Portugal",2020-04-06,3070
"Lisbon and Tagus Valley","Portugal",2020-04-07,3185
"Lisbon and Tagus Valley","Portugal",2020-04-08,3424
"Lisbon and Tagus Valley","Portugal",2020-04-09,3451
"Lisbon and Tagus Valley","Portugal",2020-04-10,3821
"Lisbon and Tagus Valley","Portugal",2020-04-11,3834
"Lisbon and Tagus Valley","Portugal",2020-04-12,3841
"Lisbon and Tagus Valley","Portugal",2020-04-13,3896
"Lisbon and Tagus Valley","Portugal",2020-04-14,3994
"Lisbon and Tagus Valley","Portugal",2020-04-15,4102
"Lisbon and Tagus Valley","Portugal",2020-04-16,4237
"Lisbon and Tagus Valley","Portugal",2020-04-17,4302
"Lisbon and Tagus Valley","Portugal",2020-04-18,4438
"Lisbon and Tagus Valley","Portugal",2020-04-19,4500
"Lisbon and Tagus Valley","Portugal",2020-04-20,4709
