"Series";"Time";"Value"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-02-29";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-01";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-02";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-03";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-04";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-05";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-06";"null"
"Burgenland";"2020-03-07";"null"
"Burgenland";"2020-03-07";"null"
"Burgenland";"2020-03-07";"null"
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-07";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-08";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-09";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";"null"
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-10";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-11";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";4
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-12";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";6
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-13";7
"Burgenland";"2020-03-14";7
"Burgenland";"2020-03-14";7
"Burgenland";"2020-03-14";7
"Burgenland";"2020-03-14";7
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";9
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-14";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-15";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-16";10
"Burgenland";"2020-03-17";10
"Burgenland";"2020-03-17";10
"Burgenland";"2020-03-17";10
"Burgenland";"2020-03-17";10
"Burgenland";"2020-03-17";11
"Burgenland";"2020-03-17";11
"Burgenland";"2020-03-17";11
"Burgenland";"2020-03-17";"null"
"Burgenland";"2020-03-17";"null"
"Burgenland";"2020-03-17";"null"
"Burgenland";"2020-03-17";"null"
"Burgenland";"2020-03-17";"null"
