"LGA_CODE_2017","LGA_NAME_2017","PHN_CODE_2017","PHN_NAME_2017","RATIO","PERCENTAGE"
10050,"Albury (C)","PHN205","Murray",1,100
10130,"Armidale Regional (A)","PHN108","Hunter New England and Central Coast",1,100
10250,"Ballina (A)","PHN109","North Coast",1,100
10300,"Balranald (A)","PHN107","Western NSW",1,100
10470,"Bathurst Regional (A)","PHN107","Western NSW",1,100
10500,"Bayside (A)","PHN101","Central and Eastern Sydney",1,100
10550,"Bega Valley (A)","PHN106","South Eastern NSW",1,100
10600,"Bellingen (A)","PHN109","North Coast",1,100
10650,"Berrigan (A)","PHN110","Murrumbidgee",1,100
10750,"Blacktown (C)","PHN103","Western Sydney",1,100
10800,"Bland (A)","PHN110","Murrumbidgee",1,100
10850,"Blayney (A)","PHN107","Western NSW",1,100
10900,"Blue Mountains (C)","PHN104","Nepean Blue Mountains",1,100
10950,"Bogan (A)","PHN107","Western NSW",1,100
11150,"Bourke (A)","PHN107","Western NSW",1,100
11200,"Brewarrina (A)","PHN107","Western NSW",1,100
11250,"Broken Hill (C)","PHN107","Western NSW",1,100
11300,"Burwood (A)","PHN101","Central and Eastern Sydney",1,100
11350,"Byron (A)","PHN109","North Coast",1,100
11400,"Cabonne (A)","PHN107","Western NSW",1,100
11450,"Camden (A)","PHN105","South Western Sydney",1,100
11500,"Campbelltown (C) (NSW)","PHN105","South Western Sydney",1,100
11520,"Canada Bay (A)","PHN101","Central and Eastern Sydney",1,100
11570,"Canterbury-Bankstown (A)","PHN101","Central and Eastern Sydney",0.4311469,43.1146905
11570,"Canterbury-Bankstown (A)","PHN105","South Western Sydney",0.5688531,56.8853095
11600,"Carrathool (A)","PHN110","Murrumbidgee",1,100
11650,"Central Coast (C) (NSW)","PHN108","Hunter New England and Central Coast",1,100
11700,"Central Darling (A)","PHN107","Western NSW",1,100
11720,"Cessnock (C)","PHN108","Hunter New England and Central Coast",1,100
11730,"Clarence Valley (A)","PHN109","North Coast",1,100
11750,"Cobar (A)","PHN107","Western NSW",1,100
11800,"Coffs Harbour (C)","PHN109","North Coast",1,100
12000,"Coolamon (A)","PHN110","Murrumbidgee",1,100
12150,"Coonamble (A)","PHN107","Western NSW",1,100
12350,"Cowra (A)","PHN107","Western NSW",1,100
12380,"Cumberland (A)","PHN103","Western Sydney",1,100
12700,"Dungog (A)","PHN108","Hunter New England and Central Coast",1,100
12730,"Edward River (A)","PHN110","Murrumbidgee",1,100
12750,"Eurobodalla (A)","PHN106","South Eastern NSW",1,100
12850,"Fairfield (C)","PHN105","South Western Sydney",1,100
12870,"Federation (A)","PHN110","Murrumbidgee",1,100
12900,"Forbes (A)","PHN107","Western NSW",1,100
12930,"Georges River (A)","PHN101","Central and Eastern Sydney",1,100
12950,"Gilgandra (A)","PHN107","Western NSW",1,100
13010,"Glen Innes Severn (A)","PHN108","Hunter New England and Central Coast",1,100
13310,"Goulburn Mulwaree (A)","PHN106","South Eastern NSW",1,100
13340,"Greater Hume Shire (A)","PHN110","Murrumbidgee",1,100
13450,"Griffith (C)","PHN110","Murrumbidgee",1,100
13510,"Gundagai (A)","PHN110","Murrumbidgee",1,100
13550,"Gunnedah (A)","PHN108","Hunter New England and Central Coast",1,100
13660,"Gwydir (A)","PHN108","Hunter New England and Central Coast",1,100
13800,"Hawkesbury (C)","PHN104","Nepean Blue Mountains",1,100
13850,"Hay (A)","PHN110","Murrumbidgee",1,100
13910,"Hilltops (A)","PHN110","Murrumbidgee",1,100
14000,"Hornsby (A)","PHN102","Northern Sydney",1,100
14100,"Hunters Hill (A)","PHN102","Northern Sydney",1,100
14170,"Inner West (A)","PHN101","Central and Eastern Sydney",1,100
14200,"Inverell (A)","PHN108","Hunter New England and Central Coast",1,100
14300,"Junee (A)","PHN110","Murrumbidgee",1,100
14350,"Kempsey (A)","PHN109","North Coast",1,100
14400,"Kiama (A)","PHN106","South Eastern NSW",1,100
14500,"Ku-ring-gai (A)","PHN102","Northern Sydney",1,100
14550,"Kyogle (A)","PHN109","North Coast",1,100
14600,"Lachlan (A)","PHN107","Western NSW",0.7134814,71.3481361
14600,"Lachlan (A)","PHN110","Murrumbidgee",0.2865186,28.6518639
14650,"Lake Macquarie (C)","PHN108","Hunter New England and Central Coast",1,100
14700,"Lane Cove (A)","PHN102","Northern Sydney",1,100
14750,"Leeton (A)","PHN110","Murrumbidgee",1,100
14850,"Lismore (C)","PHN109","North Coast",1,100
14870,"Lithgow (C)","PHN104","Nepean Blue Mountains",1,100
14900,"Liverpool (C)","PHN105","South Western Sydney",1,100
14920,"Liverpool Plains (A)","PHN108","Hunter New England and Central Coast",1,100
14950,"Lockhart (A)","PHN110","Murrumbidgee",1,100
15050,"Maitland (C)","PHN108","Hunter New England and Central Coast",1,100
15240,"Mid-Coast (A)","PHN108","Hunter New England and Central Coast",1,100
15270,"Mid-Western Regional (A)","PHN104","Nepean Blue Mountains",0.0004152,0.0415214
15270,"Mid-Western Regional (A)","PHN107","Western NSW",0.9995848,99.9584786
15300,"Moree Plains (A)","PHN108","Hunter New England and Central Coast",1,100
15350,"Mosman (A)","PHN102","Northern Sydney",1,100
15520,"Murray River (A)","PHN110","Murrumbidgee",1,100
15560,"Murrumbidgee (A)","PHN110","Murrumbidgee",1,100
15650,"Muswellbrook (A)","PHN108","Hunter New England and Central Coast",1,100
15700,"Nambucca (A)","PHN109","North Coast",1,100
15750,"Narrabri (A)","PHN108","Hunter New England and Central Coast",1,100
15800,"Narrandera (A)","PHN110","Murrumbidgee",1,100
15850,"Narromine (A)","PHN107","Western NSW",1,100
15900,"Newcastle (C)","PHN108","Hunter New England and Central Coast",1,100
15950,"North Sydney (A)","PHN102","Northern Sydney",1,100
15990,"Northern Beaches (A)","PHN102","Northern Sydney",1,100
16100,"Oberon (A)","PHN107","Western NSW",1,100
16150,"Orange (C)","PHN107","Western NSW",1,100
16200,"Parkes (A)","PHN107","Western NSW",1,100
16260,"Parramatta (C)","PHN102","Northern Sydney",0.0962924,9.6292364
