"name","region","date","value","value_daily"
"cases","CAN","2020-01-15",0,0
"cases","CAN","2020-01-16",0,0
"cases","CAN","2020-01-17",0,0
"cases","CAN","2020-01-18",0,0
"cases","CAN","2020-01-19",0,0
"cases","CAN","2020-01-20",0,0
"cases","CAN","2020-01-21",0,0
"cases","CAN","2020-01-22",0,0
"cases","CAN","2020-01-23",2,2
"cases","CAN","2020-01-24",3,1
"cases","CAN","2020-01-25",3,0
"cases","CAN","2020-01-26",3,0
"cases","CAN","2020-01-27",3,0
"cases","CAN","2020-01-28",3,0
"cases","CAN","2020-01-29",3,0
"cases","CAN","2020-01-30",3,0
"cases","CAN","2020-01-31",3,0
"cases","CAN","2020-02-01",3,0
"cases","CAN","2020-02-02",3,0
"cases","CAN","2020-02-03",3,0
"cases","CAN","2020-02-04",3,0
"cases","CAN","2020-02-05",5,2
"cases","CAN","2020-02-06",6,1
"cases","CAN","2020-02-07",6,0
"cases","CAN","2020-02-08",6,0
"cases","CAN","2020-02-09",6,0
"cases","CAN","2020-02-10",6,0
"cases","CAN","2020-02-11",6,0
"cases","CAN","2020-02-12",6,0
"cases","CAN","2020-02-13",6,0
"cases","CAN","2020-02-14",6,0
"cases","CAN","2020-02-15",6,0
"cases","CAN","2020-02-16",6,0
"cases","CAN","2020-02-17",6,0
"cases","CAN","2020-02-18",7,1
"cases","CAN","2020-02-19",7,0
"cases","CAN","2020-02-20",7,0
"cases","CAN","2020-02-21",8,1
"cases","CAN","2020-02-22",8,0
"cases","CAN","2020-02-23",8,0
"cases","CAN","2020-02-24",10,2
"cases","CAN","2020-02-25",11,1
"cases","CAN","2020-02-26",12,1
"cases","CAN","2020-02-27",14,2
"cases","CAN","2020-02-28",19,5
"cases","CAN","2020-02-29",23,4
"cases","CAN","2020-03-01",25,2
"cases","CAN","2020-03-02",25,0
"cases","CAN","2020-03-03",32,7
"cases","CAN","2020-03-04",33,1
"cases","CAN","2020-03-05",43,10
"cases","CAN","2020-03-06",53,10
"cases","CAN","2020-03-07",59,6
"cases","CAN","2020-03-08",69,10
"cases","CAN","2020-03-09",82,13
"cases","CAN","2020-03-10",110,28
"cases","CAN","2020-03-11",157,47
"cases","CAN","2020-03-12",210,53
"cases","CAN","2020-03-13",272,62
"cases","CAN","2020-03-14",362,90
"cases","CAN","2020-03-15",450,88
"cases","CAN","2020-03-16",579,129
"cases","CAN","2020-03-17",722,143
"cases","CAN","2020-03-18",872,150
"cases","CAN","2020-03-19",1057,185
"cases","CAN","2020-03-20",1333,276
"cases","CAN","2020-03-21",1611,278
"cases","CAN","2020-03-22",1961,350
"cases","CAN","2020-03-23",2420,459
"cases","CAN","2020-03-24",3022,602
"cases","CAN","2020-03-25",3592,570
"cases","CAN","2020-03-26",4257,665
"cases","CAN","2020-03-27",5134,877
"cases","CAN","2020-03-28",6017,883
"cases","CAN","2020-03-29",6798,781
"cases","CAN","2020-03-30",7883,1085
"cases","CAN","2020-03-31",9133,1250
"cases","CAN","2020-04-01",10599,1466
"cases","CAN","2020-04-02",11874,1275
"cases","CAN","2020-04-03",13219,1345
"cases","CAN","2020-04-04",14335,1116
"cases","CAN","2020-04-05",15444,1109
"cases","CAN","2020-04-06",16562,1118
"cases","CAN","2020-04-07",17763,1201
"cases","CAN","2020-04-08",19193,1430
"cases","CAN","2020-04-09",20370,1177
"cases","CAN","2020-04-10",21704,1334
"cases","CAN","2020-04-11",22869,1165
"cases","CAN","2020-04-12",24180,1311
