"name","region","sub_region_1","date","value","value_daily"
"cases","BC","Vancouver Coastal","2020-01-29",0,0
"cases","BC","Vancouver Coastal","2020-01-30",0,0
"cases","BC","Vancouver Coastal","2020-01-31",0,0
"cases","BC","Vancouver Coastal","2020-02-01",0,0
"cases","BC","Vancouver Coastal","2020-02-02",0,0
"cases","BC","Vancouver Coastal","2020-02-03",0,0
"cases","BC","Vancouver Coastal","2020-02-04",0,0
"cases","BC","Vancouver Coastal","2020-02-05",0,0
"cases","BC","Vancouver Coastal","2020-02-06",1,1
"cases","BC","Vancouver Coastal","2020-02-07",1,0
"cases","BC","Vancouver Coastal","2020-02-08",1,0
"cases","BC","Vancouver Coastal","2020-02-09",1,0
"cases","BC","Vancouver Coastal","2020-02-10",1,0
"cases","BC","Vancouver Coastal","2020-02-11",1,0
"cases","BC","Vancouver Coastal","2020-02-12",1,0
"cases","BC","Vancouver Coastal","2020-02-13",1,0
"cases","BC","Vancouver Coastal","2020-02-14",1,0
"cases","BC","Vancouver Coastal","2020-02-15",1,0
"cases","BC","Vancouver Coastal","2020-02-16",1,0
"cases","BC","Vancouver Coastal","2020-02-17",1,0
"cases","BC","Vancouver Coastal","2020-02-18",1,0
"cases","BC","Vancouver Coastal","2020-02-19",1,0
"cases","BC","Vancouver Coastal","2020-02-20",1,0
"cases","BC","Vancouver Coastal","2020-02-21",1,0
"cases","BC","Vancouver Coastal","2020-02-22",1,0
"cases","BC","Vancouver Coastal","2020-02-23",1,0
"cases","BC","Vancouver Coastal","2020-02-24",1,0
"cases","BC","Vancouver Coastal","2020-02-25",1,0
"cases","BC","Vancouver Coastal","2020-02-26",1,0
"cases","BC","Vancouver Coastal","2020-02-27",1,0
"cases","BC","Vancouver Coastal","2020-02-28",1,0
"cases","BC","Vancouver Coastal","2020-02-29",1,0
"cases","BC","Vancouver Coastal","2020-03-01",1,0
"cases","BC","Vancouver Coastal","2020-03-02",1,0
"cases","BC","Vancouver Coastal","2020-03-03",5,4
"cases","BC","Vancouver Coastal","2020-03-04",5,0
"cases","BC","Vancouver Coastal","2020-03-05",9,4
"cases","BC","Vancouver Coastal","2020-03-06",12,3
"cases","BC","Vancouver Coastal","2020-03-07",13,1
"cases","BC","Vancouver Coastal","2020-03-08",13,0
"cases","BC","Vancouver Coastal","2020-03-09",15,2
"cases","BC","Vancouver Coastal","2020-03-10",19,4
"cases","BC","Vancouver Coastal","2020-03-11",32,13
"cases","BC","Vancouver Coastal","2020-03-12",40,8
"cases","BC","Vancouver Coastal","2020-03-13",54,14
"cases","BC","Vancouver Coastal","2020-03-14",72,18
"cases","BC","Vancouver Coastal","2020-03-15",86,14
"cases","BC","Vancouver Coastal","2020-03-16",112,26
"cases","BC","Vancouver Coastal","2020-03-17",136,24
"cases","BC","Vancouver Coastal","2020-03-18",163,27
"cases","BC","Vancouver Coastal","2020-03-19",192,29
"cases","BC","Vancouver Coastal","2020-03-20",221,29
"cases","BC","Vancouver Coastal","2020-03-21",255,34
"cases","BC","Vancouver Coastal","2020-03-22",276,21
