"city","date","cases"
"Moscow",2020-03-01,0
"Moscow",2020-03-02,0
"Moscow",2020-03-03,0
"Moscow",2020-03-04,0
"Moscow",2020-03-05,0
"Moscow",2020-03-06,5
"Moscow",2020-03-07,0
"Moscow",2020-03-08,0
"Moscow",2020-03-09,3
"Moscow",2020-03-10,3
"Moscow",2020-03-11,6
"Moscow",2020-03-12,4
"Moscow",2020-03-13,5
"Moscow",2020-03-14,9
"Moscow",2020-03-15,0
"Moscow",2020-03-16,18
"Moscow",2020-03-17,2
"Moscow",2020-03-18,31
"Moscow",2020-03-19,12
"Moscow",2020-03-20,33
"Moscow",2020-03-21,6
"Moscow",2020-03-22,54
"Moscow",2020-03-23,71
"Moscow",2020-03-24,28
"Moscow",2020-03-25,120
"Moscow",2020-03-26,136
"Moscow",2020-03-27,157
"Moscow",2020-03-28,114
"Moscow",2020-03-29,197
"Moscow",2020-03-30,212
"Moscow",2020-03-31,387
"Moscow",2020-04-01,267
"Moscow",2020-04-02,595
"Moscow",2020-04-03,448
"Moscow",2020-04-04,434
"Moscow",2020-04-05,536
"Moscow",2020-04-06,591
"Moscow",2020-04-07,697
"Moscow",2020-04-08,660
"Moscow",2020-04-09,857
"Moscow",2020-04-10,1124
"Moscow",2020-04-11,1030
"Moscow",2020-04-12,1306
"Moscow",2020-04-13,1355
"Moscow",2020-04-14,1489
"Moscow",2020-04-15,1774
"Moscow",2020-04-16,1370
"Moscow",2020-04-17,1959
"Moscow",2020-04-18,2649
"Moscow",2020-04-19,3570
"Moscow",2020-04-20,2026
"St. Petersburg",2020-03-01,0
"St. Petersburg",2020-03-02,0
"St. Petersburg",2020-03-03,0
"St. Petersburg",2020-03-04,0
"St. Petersburg",2020-03-05,0
"St. Petersburg",2020-03-06,0
"St. Petersburg",2020-03-07,1
"St. Petersburg",2020-03-08,0
"St. Petersburg",2020-03-09,0
"St. Petersburg",2020-03-10,0
"St. Petersburg",2020-03-11,0
"St. Petersburg",2020-03-12,0
"St. Petersburg",2020-03-13,3
"St. Petersburg",2020-03-14,1
"St. Petersburg",2020-03-15,0
"St. Petersburg",2020-03-16,3
"St. Petersburg",2020-03-17,1
"St. Petersburg",2020-03-18,0
"St. Petersburg",2020-03-19,1
"St. Petersburg",2020-03-20,4
"St. Petersburg",2020-03-21,2
"St. Petersburg",2020-03-22,0
"St. Petersburg",2020-03-23,0
"St. Petersburg",2020-03-24,5
"St. Petersburg",2020-03-25,0
"St. Petersburg",2020-03-26,5
"St. Petersburg",2020-03-27,0
"St. Petersburg",2020-03-28,11
"St. Petersburg",2020-03-29,5
"St. Petersburg",2020-03-30,8
"St. Petersburg",2020-03-31,48
"St. Petersburg",2020-04-01,27
"St. Petersburg",2020-04-02,22
"St. Petersburg",2020-04-03,9
"St. Petersburg",2020-04-04,15
"St. Petersburg",2020-04-05,20
"St. Petersburg",2020-04-06,35
"St. Petersburg",2020-04-07,69
"St. Petersburg",2020-04-08,34
"St. Petersburg",2020-04-09,44
"St. Petersburg",2020-04-10,35
"St. Petersburg",2020-04-11,80
"St. Petersburg",2020-04-12,69
"St. Petersburg",2020-04-13,121
"St. Petersburg",2020-04-14,121
"St. Petersburg",2020-04-15,130
"St. Petersburg",2020-04-16,154
"St. Petersburg",2020-04-17,424
"St. Petersburg",2020-04-18,139
"St. Petersburg",2020-04-19,114
"St. Petersburg",2020-04-20,86
