"state","country","date","cases"
"Stockholm","Sweden",2020-02-04,0
"Stockholm","Sweden",2020-02-05,0
"Stockholm","Sweden",2020-02-06,0
"Stockholm","Sweden",2020-02-07,0
"Stockholm","Sweden",2020-02-08,0
"Stockholm","Sweden",2020-02-09,0
"Stockholm","Sweden",2020-02-10,0
"Stockholm","Sweden",2020-02-11,0
"Stockholm","Sweden",2020-02-12,0
"Stockholm","Sweden",2020-02-13,0
"Stockholm","Sweden",2020-02-14,0
"Stockholm","Sweden",2020-02-15,0
"Stockholm","Sweden",2020-02-16,0
"Stockholm","Sweden",2020-02-17,0
"Stockholm","Sweden",2020-02-18,0
"Stockholm","Sweden",2020-02-19,0
"Stockholm","Sweden",2020-02-20,0
"Stockholm","Sweden",2020-02-21,0
"Stockholm","Sweden",2020-02-22,0
"Stockholm","Sweden",2020-02-23,0
"Stockholm","Sweden",2020-02-24,0
"Stockholm","Sweden",2020-02-25,0
"Stockholm","Sweden",2020-02-26,0
"Stockholm","Sweden",2020-02-27,1
"Stockholm","Sweden",2020-02-28,3
"Stockholm","Sweden",2020-02-29,4
"Stockholm","Sweden",2020-03-01,4
"Stockholm","Sweden",2020-03-02,5
"Stockholm","Sweden",2020-03-03,15
"Stockholm","Sweden",2020-03-04,36
"Stockholm","Sweden",2020-03-05,58
"Stockholm","Sweden",2020-03-06,94
"Stockholm","Sweden",2020-03-07,115
"Stockholm","Sweden",2020-03-08,144
"Stockholm","Sweden",2020-03-09,208
"Stockholm","Sweden",2020-03-10,234
"Stockholm","Sweden",2020-03-11,266
"Stockholm","Sweden",2020-03-12,308
"Stockholm","Sweden",2020-03-13,339
"Stockholm","Sweden",2020-03-14,357
"Stockholm","Sweden",2020-03-15,374
"Stockholm","Sweden",2020-03-16,408
"Stockholm","Sweden",2020-03-17,443
"Stockholm","Sweden",2020-03-18,501
"Stockholm","Sweden",2020-03-19,567
"Stockholm","Sweden",2020-03-20,651
"Stockholm","Sweden",2020-03-21,722
"Stockholm","Sweden",2020-03-22,781
"Stockholm","Sweden",2020-03-23,880
"Stockholm","Sweden",2020-03-24,985
"Stockholm","Sweden",2020-03-25,1139
"Stockholm","Sweden",2020-03-26,1271
"Stockholm","Sweden",2020-03-27,1447
"Stockholm","Sweden",2020-03-28,1594
"Stockholm","Sweden",2020-03-29,1744
"Stockholm","Sweden",2020-03-30,1915
"Stockholm","Sweden",2020-03-31,2124
"Stockholm","Sweden",2020-04-01,2329
"Stockholm","Sweden",2020-04-02,2547
"Stockholm","Sweden",2020-04-03,2793
"Stockholm","Sweden",2020-04-04,2922
"Stockholm","Sweden",2020-04-05,3094
"Stockholm","Sweden",2020-04-06,3225
"Stockholm","Sweden",2020-04-07,3468
"Stockholm","Sweden",2020-04-08,3739
"Stockholm","Sweden",2020-04-09,3979
"Stockholm","Sweden",2020-04-10,4127
"Stockholm","Sweden",2020-04-11,4327
"Stockholm","Sweden",2020-04-12,4509
"Stockholm","Sweden",2020-04-13,4709
"Stockholm","Sweden",2020-04-14,4889
"Stockholm","Sweden",2020-04-15,5104
"Stockholm","Sweden",2020-04-16,5325
"Stockholm","Sweden",2020-04-17,5546
"Stockholm","Sweden",2020-04-18,5726
"Stockholm","Sweden",2020-04-19,5918
"Stockholm","Sweden",2020-04-20,6129
"Stockholm","Sweden",2020-04-21,6292
"Stockholm","Sweden",2020-04-22,6581
"Stockholm","Sweden",2020-04-23,6862
"Stockholm","Sweden",2020-04-24,6967
