"state","country","date","cases_daily","cases_local","cases_imported"
"Ontario","Canada",2020-01-21,1,0,1
"Ontario","Canada",2020-01-22,1,0,1
"Ontario","Canada",2020-01-23,0,0,0
"Ontario","Canada",2020-01-24,1,0,1
"Ontario","Canada",2020-01-25,0,0,0
"Ontario","Canada",2020-01-26,0,0,0
"Ontario","Canada",2020-01-27,0,0,0
"Ontario","Canada",2020-01-28,0,0,0
"Ontario","Canada",2020-01-29,0,0,0
"Ontario","Canada",2020-01-30,0,0,0
"Ontario","Canada",2020-01-31,0,0,0
"Ontario","Canada",2020-02-01,1,1,0
"Ontario","Canada",2020-02-02,0,0,0
"Ontario","Canada",2020-02-03,0,0,0
"Ontario","Canada",2020-02-04,0,0,0
"Ontario","Canada",2020-02-05,1,0,1
"Ontario","Canada",2020-02-06,0,0,0
"Ontario","Canada",2020-02-07,0,0,0
"Ontario","Canada",2020-02-08,0,0,0
"Ontario","Canada",2020-02-09,0,0,0
"Ontario","Canada",2020-02-10,1,0,1
"Ontario","Canada",2020-02-11,0,0,0
"Ontario","Canada",2020-02-12,0,0,0
"Ontario","Canada",2020-02-13,0,0,0
"Ontario","Canada",2020-02-14,2,1,1
"Ontario","Canada",2020-02-15,1,1,0
"Ontario","Canada",2020-02-16,1,0,1
"Ontario","Canada",2020-02-17,1,0,1
"Ontario","Canada",2020-02-18,0,0,0
"Ontario","Canada",2020-02-19,1,0,1
"Ontario","Canada",2020-02-20,5,3,2
"Ontario","Canada",2020-02-21,1,0,1
"Ontario","Canada",2020-02-22,3,1,2
"Ontario","Canada",2020-02-23,3,1,2
"Ontario","Canada",2020-02-24,3,0,3
"Ontario","Canada",2020-02-25,2,0,2
"Ontario","Canada",2020-02-26,4,3,1
"Ontario","Canada",2020-02-27,1,0,1
"Ontario","Canada",2020-02-28,4,0,4
"Ontario","Canada",2020-02-29,3,0,3
"Ontario","Canada",2020-03-01,11,4,7
"Ontario","Canada",2020-03-02,14,3,11
"Ontario","Canada",2020-03-03,12,4,8
"Ontario","Canada",2020-03-04,9,4,5
"Ontario","Canada",2020-03-05,22,12,10
"Ontario","Canada",2020-03-06,22,9,13
"Ontario","Canada",2020-03-07,27,8,19
"Ontario","Canada",2020-03-08,42,15,27
"Ontario","Canada",2020-03-09,57,23,34
"Ontario","Canada",2020-03-10,82,34,48
"Ontario","Canada",2020-03-11,83,37,46
"Ontario","Canada",2020-03-12,95,40,55
"Ontario","Canada",2020-03-13,118,65,53
"Ontario","Canada",2020-03-14,117,68,49
"Ontario","Canada",2020-03-15,144,87,57
"Ontario","Canada",2020-03-16,200,121,79
"Ontario","Canada",2020-03-17,212,139,73
"Ontario","Canada",2020-03-18,218,148,70
"Ontario","Canada",2020-03-19,194,142,52
"Ontario","Canada",2020-03-20,274,211,63
"Ontario","Canada",2020-03-21,209,151,58
"Ontario","Canada",2020-03-22,208,157,51
"Ontario","Canada",2020-03-23,252,204,48
"Ontario","Canada",2020-03-24,201,170,31
"Ontario","Canada",2020-03-25,226,199,27
"Ontario","Canada",2020-03-26,254,225,29
"Ontario","Canada",2020-03-27,254,239,15
"Ontario","Canada",2020-03-28,245,225,20
"Ontario","Canada",2020-03-29,213,198,15
"Ontario","Canada",2020-03-30,308,298,10
"Ontario","Canada",2020-03-31,288,275,13
"Ontario","Canada",2020-04-01,390,373,17
"Ontario","Canada",2020-04-02,325,317,8
"Ontario","Canada",2020-04-03,325,313,12
"Ontario","Canada",2020-04-04,259,254,5
"Ontario","Canada",2020-04-05,297,291,6
"Ontario","Canada",2020-04-06,384,382,2
"Ontario","Canada",2020-04-07,380,377,3
"Ontario","Canada",2020-04-08,314,310,4
"Ontario","Canada",2020-04-09,352,351,1
"Ontario","Canada",2020-04-10,353,350,3
"Ontario","Canada",2020-04-11,359,359,0
"Ontario","Canada",2020-04-12,218,217,1
"Ontario","Canada",2020-04-13,233,233,0
"Ontario","Canada",2020-04-14,78,78,0
"Ontario","Canada",2020-04-15,42,42,0
