"city","date","cmi","country","continent"
"Amsterdam",2020-01-20,NA,"Netherlands","Europe"
"Amsterdam",2020-01-21,NA,"Netherlands","Europe"
"Amsterdam",2020-01-22,NA,"Netherlands","Europe"
"Amsterdam",2020-01-23,NA,"Netherlands","Europe"
"Amsterdam",2020-01-24,NA,"Netherlands","Europe"
"Amsterdam",2020-01-25,NA,"Netherlands","Europe"
"Amsterdam",2020-01-26,NA,"Netherlands","Europe"
"Amsterdam",2020-01-27,NA,"Netherlands","Europe"
"Amsterdam",2020-01-28,NA,"Netherlands","Europe"
"Amsterdam",2020-01-29,NA,"Netherlands","Europe"
"Amsterdam",2020-01-30,NA,"Netherlands","Europe"
"Amsterdam",2020-01-31,NA,"Netherlands","Europe"
"Amsterdam",2020-02-01,NA,"Netherlands","Europe"
"Amsterdam",2020-02-02,NA,"Netherlands","Europe"
"Amsterdam",2020-02-03,NA,"Netherlands","Europe"
"Amsterdam",2020-02-04,NA,"Netherlands","Europe"
"Amsterdam",2020-02-05,NA,"Netherlands","Europe"
"Amsterdam",2020-02-06,NA,"Netherlands","Europe"
"Amsterdam",2020-02-07,NA,"Netherlands","Europe"
"Amsterdam",2020-02-08,NA,"Netherlands","Europe"
"Amsterdam",2020-02-09,NA,"Netherlands","Europe"
"Amsterdam",2020-02-10,NA,"Netherlands","Europe"
"Amsterdam",2020-02-11,NA,"Netherlands","Europe"
"Amsterdam",2020-02-12,NA,"Netherlands","Europe"
"Amsterdam",2020-02-13,NA,"Netherlands","Europe"
"Amsterdam",2020-02-14,NA,"Netherlands","Europe"
"Amsterdam",2020-02-15,NA,"Netherlands","Europe"
"Amsterdam",2020-02-16,NA,"Netherlands","Europe"
"Amsterdam",2020-02-17,NA,"Netherlands","Europe"
"Amsterdam",2020-02-18,NA,"Netherlands","Europe"
"Amsterdam",2020-02-19,NA,"Netherlands","Europe"
"Amsterdam",2020-02-20,NA,"Netherlands","Europe"
"Amsterdam",2020-02-21,NA,"Netherlands","Europe"
"Amsterdam",2020-02-22,NA,"Netherlands","Europe"
"Amsterdam",2020-02-23,NA,"Netherlands","Europe"
"Amsterdam",2020-02-24,NA,"Netherlands","Europe"
"Amsterdam",2020-02-25,NA,"Netherlands","Europe"
"Amsterdam",2020-02-26,NA,"Netherlands","Europe"
"Amsterdam",2020-02-27,NA,"Netherlands","Europe"
"Amsterdam",2020-02-28,NA,"Netherlands","Europe"
"Amsterdam",2020-02-29,NA,"Netherlands","Europe"
"Amsterdam",2020-03-01,NA,"Netherlands","Europe"
"Amsterdam",2020-03-02,110,"Netherlands","Europe"
"Amsterdam",2020-03-03,103,"Netherlands","Europe"
"Amsterdam",2020-03-04,98,"Netherlands","Europe"
"Amsterdam",2020-03-05,109,"Netherlands","Europe"
"Amsterdam",2020-03-06,107,"Netherlands","Europe"
"Amsterdam",2020-03-07,106,"Netherlands","Europe"
"Amsterdam",2020-03-08,97,"Netherlands","Europe"
"Amsterdam",2020-03-09,93,"Netherlands","Europe"
"Amsterdam",2020-03-10,86,"Netherlands","Europe"
"Amsterdam",2020-03-11,86,"Netherlands","Europe"
"Amsterdam",2020-03-12,74,"Netherlands","Europe"
"Amsterdam",2020-03-13,60,"Netherlands","Europe"
"Amsterdam",2020-03-14,52,"Netherlands","Europe"
"Amsterdam",2020-03-15,43,"Netherlands","Europe"
"Amsterdam",2020-03-16,28,"Netherlands","Europe"
"Amsterdam",2020-03-17,16,"Netherlands","Europe"
"Amsterdam",2020-03-18,13,"Netherlands","Europe"
"Amsterdam",2020-03-19,10,"Netherlands","Europe"
"Amsterdam",2020-03-20,8,"Netherlands","Europe"
"Amsterdam",2020-03-21,8,"Netherlands","Europe"
"Amsterdam",2020-03-22,7,"Netherlands","Europe"
"Amsterdam",2020-03-23,7,"Netherlands","Europe"
"Amsterdam",2020-03-24,7,"Netherlands","Europe"
"Amsterdam",2020-03-25,6,"Netherlands","Europe"
"Amsterdam",2020-03-26,6,"Netherlands","Europe"
"Amsterdam",2020-03-27,5,"Netherlands","Europe"
"Amsterdam",2020-03-28,5,"Netherlands","Europe"
"Amsterdam",2020-03-29,5,"Netherlands","Europe"
"Amsterdam",2020-03-30,5,"Netherlands","Europe"
"Amsterdam",2020-03-31,6,"Netherlands","Europe"
"Amsterdam",2020-04-01,6,"Netherlands","Europe"
"Amsterdam",2020-04-02,6,"Netherlands","Europe"
"Amsterdam",2020-04-03,4,"Netherlands","Europe"
"Amsterdam",2020-04-04,5,"Netherlands","Europe"
"Amsterdam",2020-04-05,5,"Netherlands","Europe"
"Amsterdam",2020-04-06,6,"Netherlands","Europe"
"Amsterdam",2020-04-07,7,"Netherlands","Europe"
"Amsterdam",2020-04-08,6,"Netherlands","Europe"
"Amsterdam",2020-04-09,6,"Netherlands","Europe"
"Amsterdam",2020-04-10,5,"Netherlands","Europe"
"Amsterdam",2020-04-11,6,"Netherlands","Europe"
"Amsterdam",2020-04-12,6,"Netherlands","Europe"
"Amsterdam",2020-04-13,6,"Netherlands","Europe"
"Amsterdam",2020-04-14,6,"Netherlands","Europe"
"Amsterdam",2020-04-15,6,"Netherlands","Europe"
"Amsterdam",2020-04-16,5,"Netherlands","Europe"
"Amsterdam",2020-04-17,5,"Netherlands","Europe"
"Amsterdam",2020-04-18,5,"Netherlands","Europe"
"Amsterdam",2020-04-19,6,"Netherlands","Europe"
"Amsterdam",2020-04-20,6,"Netherlands","Europe"
"Amsterdam",2020-04-21,7,"Netherlands","Europe"
"Amsterdam",2020-04-22,7,"Netherlands","Europe"
"Amsterdam",2020-04-23,7,"Netherlands","Europe"
"Barcelona",2020-01-20,NA,"Spain","Europe"
"Barcelona",2020-01-21,NA,"Spain","Europe"
"Barcelona",2020-01-22,NA,"Spain","Europe"
"Barcelona",2020-01-23,NA,"Spain","Europe"
"Barcelona",2020-01-24,NA,"Spain","Europe"
"Barcelona",2020-01-25,NA,"Spain","Europe"
"Barcelona",2020-01-26,NA,"Spain","Europe"
"Barcelona",2020-01-27,NA,"Spain","Europe"
"Barcelona",2020-01-28,NA,"Spain","Europe"
"Barcelona",2020-01-29,NA,"Spain","Europe"
"Barcelona",2020-01-30,NA,"Spain","Europe"
"Barcelona",2020-01-31,NA,"Spain","Europe"
"Barcelona",2020-02-01,NA,"Spain","Europe"
"Barcelona",2020-02-02,NA,"Spain","Europe"
"Barcelona",2020-02-03,NA,"Spain","Europe"
"Barcelona",2020-02-04,NA,"Spain","Europe"
"Barcelona",2020-02-05,NA,"Spain","Europe"
"Barcelona",2020-02-06,NA,"Spain","Europe"
"Barcelona",2020-02-07,NA,"Spain","Europe"
"Barcelona",2020-02-08,NA,"Spain","Europe"
"Barcelona",2020-02-09,NA,"Spain","Europe"
"Barcelona",2020-02-10,NA,"Spain","Europe"
"Barcelona",2020-02-11,NA,"Spain","Europe"
"Barcelona",2020-02-12,NA,"Spain","Europe"
"Barcelona",2020-02-13,NA,"Spain","Europe"
"Barcelona",2020-02-14,NA,"Spain","Europe"
"Barcelona",2020-02-15,NA,"Spain","Europe"
"Barcelona",2020-02-16,NA,"Spain","Europe"
"Barcelona",2020-02-17,NA,"Spain","Europe"
"Barcelona",2020-02-18,NA,"Spain","Europe"
"Barcelona",2020-02-19,NA,"Spain","Europe"
"Barcelona",2020-02-20,NA,"Spain","Europe"
"Barcelona",2020-02-21,NA,"Spain","Europe"
"Barcelona",2020-02-22,NA,"Spain","Europe"
"Barcelona",2020-02-23,NA,"Spain","Europe"
"Barcelona",2020-02-24,NA,"Spain","Europe"
"Barcelona",2020-02-25,NA,"Spain","Europe"
"Barcelona",2020-02-26,NA,"Spain","Europe"
"Barcelona",2020-02-27,NA,"Spain","Europe"
"Barcelona",2020-02-28,NA,"Spain","Europe"
"Barcelona",2020-02-29,NA,"Spain","Europe"
"Barcelona",2020-03-01,NA,"Spain","Europe"
"Barcelona",2020-03-02,112,"Spain","Europe"
"Barcelona",2020-03-03,105,"Spain","Europe"
"Barcelona",2020-03-04,105,"Spain","Europe"
"Barcelona",2020-03-05,106,"Spain","Europe"
"Barcelona",2020-03-06,105,"Spain","Europe"
"Barcelona",2020-03-07,110,"Spain","Europe"
"Barcelona",2020-03-08,107,"Spain","Europe"
"Barcelona",2020-03-09,104,"Spain","Europe"
"Barcelona",2020-03-10,92,"Spain","Europe"
"Barcelona",2020-03-11,86,"Spain","Europe"
"Barcelona",2020-03-12,69,"Spain","Europe"
"Barcelona",2020-03-13,47,"Spain","Europe"
"Barcelona",2020-03-14,24,"Spain","Europe"
"Barcelona",2020-03-15,16,"Spain","Europe"
"Barcelona",2020-03-16,12,"Spain","Europe"
"Barcelona",2020-03-17,8,"Spain","Europe"
"Barcelona",2020-03-18,6,"Spain","Europe"
"Barcelona",2020-03-19,5,"Spain","Europe"
"Barcelona",2020-03-20,5,"Spain","Europe"
"Barcelona",2020-03-21,4,"Spain","Europe"
"Barcelona",2020-03-22,3,"Spain","Europe"
"Barcelona",2020-03-23,5,"Spain","Europe"
"Barcelona",2020-03-24,4,"Spain","Europe"
