city,state,country,continent,doe_date,doe_date_info,pdist_date,pdist_date_info,pdist_federal_state,pdist_announced_by,pdist_enforcement,pdist_notes,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,wikipedia_timeline
Amsterdam,,Netherlands,Europe,,,2020-03-12,GathRest100,federal,,,"2020-03-12: Meetings of >100 people cancelled and people encouraged to work from home (citation 1); 2020-03-15: Schools, restaurants, fitness clubs etc. closed (citation 2)",https://nationalpost.com/pmn/health-pmn/dutch-ban-big-public-events-over-coronavirus,https://nos.nl/artikel/2327194-alle-scholen-cafes-en-restaurants-tot-en-met-6-april-dicht-om-coronavirus.html,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Netherlands
Barcelona,Cataluña,Spain,Europe,2020-03-13,DOE,2020-03-13,EmergencyMeasures,federal,prime minister,,"2020-03-13: Spain issues state of emergency (came into effect 2020-03-14) - schools had already closed, as had cinemas, theatres and playgrounds",https://business.financialpost.com/pmn/business-pmn/spain-declares-emergency-as-coronavirus-shuts-down-parades-schools-shops-2,,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain
Berlin,Berlin,Germany,Europe,,,2020-03-08,GathRest1000,federal,health minister,recommends canceling,"2020-03-08: German Health Minister recommended to cancel events of more than 1000 attendees; 2020-03-13: German states mandate school and kindergarden closures, postponing academic semesters and prohibiting visits to nursing homes. 2220-03-15: borders to neighbouring countries closed; 2020-03-22: curfew enacted, ban on gatherings of more than 2 people",https://www.rte.ie/news/coronavirus/2020/0308/1120971-germany-events-covid-19/,https://www.bbc.com/news/world-europe-51999080,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany
Birmingham,West Midlands,United Kingdom,Europe,,,2020-03-16,SocialDistEncouraged,federal,,,"2020-03-16: PM says everyone should avoid office, pubs and travelling (citation 1); 2020-03-18: UK would close schools to most pupils - started 2020-03-20 (citation 2); 2020-03-20: All restaurants and indoor sport and leisure facilities were ordered to close (citation 3); 2020-03-23: restrictions tightened, gatherings banned >2 people (citation 4/5)",https://www.bbc.com/news/uk-51917562,https://www.bbc.com/news/uk-51952314,https://web.archive.org/web/20200323004800/http://www.legislation.gov.uk/uksi/2020/327/pdfs/uksi_20200327_en.pdf,https://www.bbc.com/news/uk-52012432,https://www.thesun.co.uk/news/11238270/gatherings-two-people-banned/,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_Kingdom
Boston,Massachusetts,United States,North America,2020-03-10,DOE,2020-03-13,GathRest250,,,,2020-03-15: GathRest25 (into effect 2020-03-17), 2020-03-23: GathRest10 (into effect 2020-03-24),https://www.mass.gov/executive-orders/no-591-declaration-of-a-state-of-emergency-to-respond-to-covid-19,https://www.mass.gov/doc/order-prohibiting-gatherings-of-more-than-250-people/download,,,,,
Brussels,Brussels,Belgium,Europe,,,2020-03-12,GathRest1000,federal,belgian government,bans,"2020-03-10: Belgian government cancels all indoor gatherings over 1,000 people, including concerts, sports competitions, and trade fairs.",https://www.brusselstimes.com/belgium/99636/brussels-cancels-concerts-with-over-1000-people-from-wednesday-covid-19,,,,,,,
Chicago,Illinois,United States,North America,2020-03-09,DOE,2020-03-13,GathRest1000,,,,2020-03-16: GathRest50 (into effect 2020-03-18),https://www2.illinois.gov/Pages/news-item.aspx?ReleaseID=21220,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-04.aspx,,,,,,
Copenhagen,,Denmark,Europe,,,2020-03-06,GathRest1000,federal,prime minister,recommends canceling,"2020-03-06: Large assemblies >1000 people encouraged to cancel (citation 1); 2020-03-12: bans on >100 people banned (citation 2); 2020-03-13: Danish public employees sent home for 2 weeks; 2020-03-17: police prohibited public gatherings with more than 10 people and ordered all restaurants, cafes and hairdressers to shut down",https://www.dr.dk/nyheder/indland/undgaa-visse-rejser-og-drop-tog-i-myldretiden-her-er-myndighedernes-corona,https://economictimes.indiatimes.com/news/international/world-news/denmark-shuts-schools-and-universities-after-surge-in-coronavirus-cases/articleshow/74589282.cms?from=mdr,https://www.bloomberg.com/news/articles/2020-03-17/denmark-bans-crowds-larger-than-10-people-closes-restaurants,,https://www.wonderfulcopenhagen.com/convention-bureau/news-room/wonderful-copenhagens-precautions-and-adaptation-coronavirus-efforts,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Denmark
Hamburg,Hamburg,Germany,Europe,,,2020-03-08,GathRest1000,federal,health minister,recommends canceling,"2020-03-08: German Health Minister recommended to cancel events of more than 1000 attendees; 2020-03-13: German states mandate school and kindergarden closures, postponing academic semesters and prohibiting visits to nursing homes. 2220-03-15: borders to neighbouring countries closed; 2020-03-22: curfew enacted, ban on gatherings of more than 2 people",https://www.rte.ie/news/coronavirus/2020/0308/1120971-germany-events-covid-19/,https://www.bbc.com/news/world-europe-51999080,,,,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Germany
Hong Kong,Hong Kong,Hong Kong,Asia,2020-01-25,DOE,2020-01-29,EmergencyMeasures,,,,"Preface: See Lancet article - refers to social distancing as beginning in late January - aligns with declaration of emergency and implementation of travel restrictions (Guardian piece suggests that changes came into effect early Feb)... full timeline: 2020-01-25: Declared outbreak an ""emergency"" (highest warning tier) - travel restrictions from Wuhan, schools would not return after lunar new year holiday, string of public events cancelled (schools have been closed since before March 2); **2020-01-29**: starting today, the following Leisure and Cultural Services Department facilities will be closed: land sports facilities, acquatic facilities, meuseums, performance venues, public libraries, music centres; 2020-03-19: mandatory 14-day quarantine for all incoming travellers; 2020-03-27: Bans public gatherings of >4 people + closures of gyms, entertainment facilities (citation 6)",Emergency declared: https://www.hongkongfp.com/2020/01/25/breaking-hong-kong-declares-wuhan-virus-outbreak-emergency-highest-warning-tier/ (SEE ALSO: https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30090-6/fulltext#fig1),School closures: https://time.com/5790978/hong-kong-schools-closed-april-coronavirus/; https://www.theguardian.com/world/2020/mar/03/the-longest-holiday-parents-coping-with-coronavirus-school-closures-in-east-asia,Leisure and Cultural Services Department Closures: https://www.lcsd.gov.hk/clpss/en/webApp/NewsDetails.do?id=14683; https://fortune.com/2020/03/19/coronavirus-hong-kong-quarantine-tracking/,Mandatory quarantine for travellers: https://www.coronavirus.gov.hk/eng/inbound-travel.html; https://qz.com/1822215/hong-kong-uses-tracking-wristbands-for-coronavirus-quarantine/,Gathering restrictions > 4 people + closures: https://www.scmp.com/news/hong-kong/health-environment/article/3077301/coronavirus-hong-kong-limit-restaurant-tables; https://www.reuters.com/article/us-china-health-hongkong/hong-kong-bans-public-gatherings-of-more-than-four-people-idUSKBN21E1MW; https://hongkongfp.com/2020/03/27/coronavirus-hong-kong-ban-public-gatherings-4-people-entertainment-venues-closed/,Disucssion of measures: https://www.theguardian.com/world/2020/mar/15/hong-kong-with-coronavirus-curbed-protests-may-return,"People were not required to stay home, but as of March 2020, 99% wore face masks out of the house and 85% avoided crowded places: https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(20)30090-6/fulltext#fig1; https://www.theguardian.com/world/2020/apr/17/test-trace-lessons-hong-kong-avoiding-coronavirus-lockdown",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong
